#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00126  1.19192  0.295142  0.020480 -0.000168    14.411
   0.00630  0.99392  0.00292  1.19293  0.293088  0.020198 -0.000171    14.510
   0.01727  0.98333  0.00577  1.19471  0.289492  0.019704 -0.000175    14.692
   0.03004  0.97098  0.00904  1.19684  0.285205  0.019123 -0.000181    14.914
   0.04430  0.95718  0.01262  1.19930  0.280357  0.018467 -0.000187    15.182
   0.05958  0.94237  0.01638  1.20203  0.275114  0.017754 -0.000195    15.496
   0.07546  0.92696  0.02021  1.20499  0.269627  0.017000 -0.000204    15.861
   0.09164  0.91123  0.02403  1.20817  0.263998  0.016210 -0.000214    16.286
   0.10799  0.89533  0.02780  1.21158  0.258282  0.015386 -0.000226    16.786
   0.12441  0.87933  0.03149  1.21519  0.252520  0.014539 -0.000239    17.369
   0.14087  0.86327  0.03511  1.21902  0.246728  0.013665 -0.000255    18.055
   0.15734  0.84718  0.03864  1.22310  0.240912  0.012763 -0.000273    18.876
   0.17383  0.83106  0.04208  1.22748  0.235074  0.011826 -0.000295    19.877
   0.19032  0.81492  0.04544  1.23220  0.229212  0.010849 -0.000322    21.127
   0.20680  0.79875  0.04870  1.23735  0.223318  0.009821 -0.000337    22.738
   0.22329  0.78258  0.05188  1.24303  0.217378  0.008727 -0.000340    24.909
   0.23978  0.76638  0.05496  1.24941  0.211373  0.007545 -0.000343    28.013
   0.25626  0.75017  0.05796  1.25678  0.205264  0.006235 -0.000347    32.924
   0.27274  0.73395  0.06086  1.26593  0.198936  0.004674 -0.000353    42.558
   0.28921  0.71772  0.06368  1.27989  0.191952  0.002305 -0.001537    83.272
   0.30568  0.70148  0.06640  1.28005  0.186925  0.002290 -0.001548    81.625
   0.32214  0.68523  0.06902  1.28019  0.181807  0.002276 -0.001558    79.873
   0.33859  0.66898  0.07155  1.28034  0.176629  0.002263 -0.001567    78.037
