#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00126  1.15902  0.158011  0.003347 -0.000296    47.213
   0.00630  0.99392  0.00292  1.15905  0.156723  0.003344 -0.000965    46.863
   0.01727  0.98333  0.00577  1.15910  0.154403  0.003341 -0.000966    46.218
   0.03004  0.97098  0.00904  1.15916  0.151607  0.003338 -0.000968    45.419
   0.04430  0.95718  0.01262  1.15921  0.148417  0.003336 -0.000969    44.493
   0.05958  0.94237  0.01638  1.15926  0.144941  0.003334 -0.000969    43.471
   0.07546  0.92696  0.02021  1.15931  0.141282  0.003333 -0.000970    42.383
   0.09164  0.91123  0.02403  1.15936  0.137514  0.003333 -0.000970    41.253
   0.10799  0.89533  0.02780  1.15940  0.133682  0.003334 -0.000971    40.097
   0.12441  0.87933  0.03149  1.15945  0.129809  0.003335 -0.000971    38.923
   0.14087  0.86327  0.03511  1.15948  0.125915  0.003337 -0.000971    37.738
   0.15734  0.84718  0.03864  1.15952  0.122008  0.003338 -0.000971    36.546
   0.17383  0.83106  0.04208  1.15955  0.118095  0.003341 -0.000971    35.351
   0.19032  0.81492  0.04544  1.15959  0.114181  0.003343 -0.000971    34.153
   0.20680  0.79875  0.04870  1.15962  0.110272  0.003346 -0.000971    32.958
   0.22329  0.78258  0.05188  1.15965  0.106369  0.003349 -0.000971    31.764
   0.23978  0.76638  0.05496  1.15968  0.102477  0.003352 -0.000971    30.574
   0.25626  0.75017  0.05796  1.15971  0.098600  0.003355 -0.000971    29.391
   0.27274  0.73395  0.06086  1.15974  0.094741  0.003358 -0.000971    28.216
   0.28921  0.71772  0.06368  1.15978  0.090902  0.003361 -0.000971    27.049
   0.30568  0.70148  0.06640  1.15982  0.087087  0.003363 -0.000972    25.893
   0.32214  0.68523  0.06902  1.15986  0.083298  0.003366 -0.000973    24.747
   0.33859  0.66898  0.07155  1.15991  0.079540  0.003368 -0.000973    23.615
   0.35503  0.65272  0.07398  1.15997  0.075813  0.003370 -0.000974    22.497
   0.37146  0.63645  0.07632  1.16004  0.072122  0.003371 -0.000976    21.394
   0.38788  0.62019  0.07855  1.16012  0.068468  0.003372 -0.000978    20.306
   0.40429  0.60392  0.08069  1.16021  0.064858  0.003372 -0.000980    19.236
   0.42068  0.58766  0.08272  1.16033  0.061291  0.003371 -0.000983    18.184
   0.43705  0.57140  0.08465  1.16047  0.057775  0.003368 -0.000987    17.152
   0.45341  0.55514  0.08647  1.16065  0.054309  0.003365 -0.000991    16.140
   0.46975  0.53889  0.08818  1.16087  0.050901  0.003360 -0.000997    15.150
   0.48606  0.52265  0.08978  1.16113  0.047551  0.003353 -0.001003    14.182
   0.50236  0.50642  0.09127  1.16147  0.044266  0.003344 -0.001011    13.238
   0.51863  0.49021  0.09264  1.16189  0.041050  0.003332 -0.001021    12.319
   0.53487  0.47402  0.09390  1.16241  0.037909  0.003318 -0.001034    11.426
   0.55108  0.45785  0.09503  1.16307  0.034844  0.003300 -0.001049    10.560
   0.56725  0.44172  0.09603  1.16390  0.031866  0.003277 -0.001069     9.723
   0.58335  0.42564  0.09690  1.16495  0.028983  0.003251 -0.001094     8.916
   0.59935  0.40965  0.09765  1.16627  0.026203  0.003218 -0.001125     8.142
   0.61519  0.39382  0.09824  1.16795  0.023537  0.003180 -0.001167     7.401
   0.63085  0.37817  0.09865  1.17009  0.021058  0.003135 -0.001222     6.718
   0.64639  0.36263  0.09885  1.17283  0.018767  0.003080 -0.001293     6.092
   0.66187  0.34716  0.09884  1.17633  0.016666  0.003017 -0.001364     5.524
