#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00126  1.19462  0.217283  0.002887 -0.000314    75.267
   0.00630  0.99392  0.00292  1.19466  0.215724  0.002882 -0.001149    74.855
   0.01727  0.98333  0.00577  1.19472  0.212948  0.002874 -0.001152    74.094
   0.03004  0.97098  0.00904  1.19479  0.209600  0.002866 -0.001155    73.127
   0.04430  0.95718  0.01262  1.19487  0.205780  0.002859 -0.001159    71.983
   0.05958  0.94237  0.01638  1.19494  0.201614  0.002852 -0.001162    70.699
   0.07546  0.92696  0.02021  1.19502  0.197223  0.002845 -0.001165    69.312
   0.09164  0.91123  0.02403  1.19509  0.192695  0.002840 -0.001167    67.851
   0.10799  0.89533  0.02780  1.19516  0.188080  0.002835 -0.001169    66.334
   0.12441  0.87933  0.03149  1.19522  0.183408  0.002832 -0.001171    64.774
   0.14087  0.86327  0.03511  1.19529  0.178699  0.002828 -0.001173    63.180
   0.15734  0.84718  0.03864  1.19535  0.173961  0.002826 -0.001174    61.556
   0.17383  0.83106  0.04208  1.19540  0.169204  0.002824 -0.001175    59.908
   0.19032  0.81492  0.04544  1.19546  0.164432  0.002823 -0.001176    58.238
   0.20680  0.79875  0.04870  1.19551  0.159651  0.002823 -0.001177    56.552
   0.22329  0.78258  0.05188  1.19556  0.154863  0.002823 -0.001177    54.850
   0.23978  0.76638  0.05496  1.19560  0.150070  0.002824 -0.001177    53.136
   0.25626  0.75017  0.05796  1.19564  0.145279  0.002826 -0.001177    51.413
   0.27274  0.73395  0.06086  1.19568  0.140491  0.002828 -0.001177    49.683
   0.28921  0.71772  0.06368  1.19572  0.135709  0.002830 -0.001176    47.949
   0.30568  0.70148  0.06640  1.19575  0.130936  0.002833 -0.001176    46.213
   0.32214  0.68523  0.06902  1.19578  0.126173  0.002837 -0.001175    44.477
   0.33859  0.66898  0.07155  1.19580  0.121426  0.002841 -0.001174    42.744
   0.35503  0.65272  0.07398  1.19583  0.116694  0.002845 -0.001173    41.016
   0.37146  0.63645  0.07632  1.19585  0.111982  0.002850 -0.001172    39.295
   0.38788  0.62019  0.07855  1.19586  0.107291  0.002855 -0.001171    37.582
   0.40429  0.60392  0.08069  1.19588  0.102626  0.002860 -0.001170    35.882
   0.42068  0.58766  0.08272  1.19589  0.097987  0.002866 -0.001168    34.194
   0.43705  0.57140  0.08465  1.19591  0.093380  0.002871 -0.001167    32.523
   0.45341  0.55514  0.08647  1.19592  0.088806  0.002877 -0.001166    30.868
   0.46975  0.53889  0.08818  1.19593  0.084268  0.002883 -0.001166    29.233
   0.48606  0.52265  0.08978  1.19594  0.079770  0.002888 -0.001165    27.619
   0.50236  0.50642  0.09127  1.19596  0.075314  0.002894 -0.001165    26.027
   0.51863  0.49021  0.09264  1.19599  0.070906  0.002899 -0.001165    24.461
   0.53487  0.47402  0.09390  1.19602  0.066549  0.002903 -0.001166    22.922
   0.55108  0.45785  0.09503  1.19606  0.062244  0.002907 -0.001167    21.410
