#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00126  1.00208  0.055025  0.013069 -0.000051     4.210
   0.00630  0.99392  0.00292  1.00516  0.054278  0.012823 -0.000055     4.233
   0.01727  0.98333  0.00577  1.01070  0.052935  0.012390 -0.000061     4.273
   0.03004  0.97098  0.00904  1.01751  0.051423  0.011877 -0.000069     4.330
   0.04430  0.95718  0.01262  1.02561  0.049818  0.011293 -0.000080     4.412
   0.05958  0.94237  0.01638  1.03490  0.048203  0.010653 -0.000094     4.525
   0.07546  0.92696  0.02021  1.04530  0.046639  0.009974 -0.000110     4.676
   0.09164  0.91123  0.02403  1.05674  0.045162  0.009266 -0.000127     4.874
   0.10799  0.89533  0.02780  1.06922  0.043784  0.008535 -0.000145     5.130
   0.12441  0.87933  0.03149  1.08280  0.042505  0.007785 -0.000162     5.460
   0.14087  0.86327  0.03511  1.09761  0.041318  0.007016 -0.000179     5.889
   0.15734  0.84718  0.03864  1.11381  0.040205  0.006225 -0.000198     6.459
   0.17383  0.83106  0.04208  1.13185  0.039140  0.005401 -0.000223     7.247
   0.19032  0.81492  0.04544  1.15207  0.038090  0.004540 -0.000261     8.389
   0.20680  0.79875  0.04870  1.17513  0.037006  0.003632 -0.000304    10.189
   0.22329  0.78258  0.05188  1.20269  0.035782  0.002634 -0.000318    13.586
   0.23978  0.76638  0.05496  1.21675  0.034732  0.002170 -0.000537    16.002
   0.25626  0.75017  0.05796  1.21721  0.033793  0.002159 -0.000541    15.653
   0.27274  0.73395  0.06086  1.21763  0.032705  0.002149 -0.000545    15.220
   0.28921  0.71772  0.06368  1.21804  0.031514  0.002140 -0.000548    14.728
   0.30568  0.70148  0.06640  1.21844  0.030247  0.002131 -0.000552    14.194
   0.32214  0.68523  0.06902  1.21886  0.028924  0.002123 -0.000556    13.627
   0.33859  0.66898  0.07155  1.21929  0.027561  0.002114 -0.000560    13.037
   0.35503  0.65272  0.07398  1.21976  0.026169  0.002105 -0.000565    12.430
   0.37146  0.63645  0.07632  1.22027  0.024759  0.002096 -0.000571    11.813
   0.38788  0.62019  0.07855  1.22085  0.023339  0.002086 -0.000577    11.189
   0.40429  0.60392  0.08069  1.22150  0.021920  0.002075 -0.000584    10.565
   0.42068  0.58766  0.08272  1.22225  0.020507  0.002062 -0.000593     9.943
   0.43705  0.57140  0.08465  1.22313  0.019110  0.002048 -0.000603     9.329
   0.45341  0.55514  0.08647  1.22417  0.017733  0.002033 -0.000615     8.724
   0.46975  0.53889  0.08818  1.22541  0.016385  0.002015 -0.000630     8.133
   0.48606  0.52265  0.08978  1.22690  0.015071  0.001994 -0.000648     7.557
   0.50236  0.50642  0.09127  1.22869  0.013799  0.001971 -0.000671     7.002
   0.51863  0.49021  0.09264  1.23087  0.012575  0.001944 -0.000700     6.468
   0.53487  0.47402  0.09390  1.23354  0.011406  0.001914 -0.000736     5.960
   0.55108  0.45785  0.09503  1.23679  0.010294  0.001879 -0.000768     5.478
   0.56725  0.44172  0.09603  1.24077  0.009248  0.001840 -0.000772     5.026
   0.58335  0.42564  0.09690  1.24559  0.008270  0.001796 -0.000702     4.605
   0.59935  0.40965  0.09765  1.25132  0.007364  0.001747 -0.000483     4.215
   0.61519  0.39382  0.09824  1.25788  0.006523  0.001694 -0.000034     3.851
   0.63085  0.37817  0.09865  1.26546  0.005811  0.001636  0.000618     3.553
   0.64639  0.36263  0.09885  1.27394  0.005219  0.001573  0.001414     3.319
   0.66187  0.34716  0.09884  1.28288  0.004731  0.001508  0.002291     3.138
   0.67728  0.33174  0.09863  1.29178  0.004329  0.001443  0.003194     3.000
   0.69264  0.31639  0.09821  1.30023  0.003995  0.001381  0.004095     2.893
   0.70795  0.30109  0.09757  1.30793  0.003715  0.001322  0.004970     2.810
   0.72321  0.28586  0.09672  1.31471  0.003476  0.001266  0.005810     2.745
   0.73841  0.27069  0.09564  1.32051  0.003267  0.001213  0.006626     2.693
   0.75355  0.25561  0.09433  1.32525  0.003084  0.001163  0.007404     2.652
   0.76863  0.24061  0.09280  1.32899  0.002918  0.001115  0.008174     2.617
   0.78363  0.22571  0.09103  1.33162  0.002768  0.001069  0.008915     2.590
   0.79855  0.21092  0.08902  1.33325  0.002627  0.001024  0.009663     2.566
   0.81339  0.19626  0.08678  1.33380  0.002495  0.000980  0.010409     2.545
   0.82811  0.18175  0.08429  1.33322  0.002370  0.000937  0.011152     2.529
   0.84271  0.16741  0.08155  1.33159  0.002249  0.000895  0.011937     2.513
   0.85717  0.15327  0.07856  1.32870  0.002134  0.000853  0.012717     2.501
   0.87144  0.13937  0.07533  1.32466  0.002020  0.000811  0.013569     2.489
   0.88548  0.12576  0.07185  1.31922  0.001909  0.000770  0.014437     2.480
   0.89921  0.11254  0.06815  1.31244  0.001799  0.000728  0.015374     2.472
   0.91255  0.09978  0.06426  1.30420  0.001690  0.000686  0.016400     2.464
   0.92536  0.08762  0.06020  1.29436  0.001583  0.000644  0.017495     2.457
   0.93750  0.07622  0.05606  1.28299  0.001476  0.000602  0.018737     2.450
   0.94879  0.06572  0.05190  1.26993  0.001373  0.000562  0.020063     2.444
   0.95911  0.05625  0.04782  1.25535  0.001273  0.000522  0.021554     2.437
   0.96837  0.04786  0.04389  1.23917  0.001178  0.000485  0.023142     2.430
   0.97657  0.04055  0.04017  1.22152  0.001089  0.000449  0.024864     2.423
   0.98379  0.03423  0.03668  1.20232  0.001005  0.000416  0.026735     2.414
   0.99012  0.02879  0.03343  1.18137  0.000929  0.000386  0.028628     2.408
   0.99570  0.02411  0.03040  1.15869  0.000856  0.000357  0.030805     2.397
   1.00063  0.02008  0.02756  1.13337  0.000788  0.000330  0.033099     2.385
   1.00502  0.01660  0.02489  1.10496  0.000726  0.000306  0.035311     2.376
   1.00896  0.01357  0.02236  1.07324  0.000668  0.000282  0.037780     2.364
   1.01253  0.01095  0.01995  1.03691  0.000613  0.000261  0.040223     2.352
   1.01577  0.00867  0.01764  0.99505  0.000562  0.000241  0.042654     2.338
   1.01874  0.00671  0.01541  0.94649  0.000516  0.000222  0.044685     2.327
   1.02149  0.00502  0.01324  0.88993  0.000471  0.000204  0.046725     2.311
   1.02404  0.00360  0.01113  0.82250  0.000431  0.000188  0.047956     2.294
   1.02642  0.00242  0.00906  0.74301  0.000397  0.000174  0.047589     2.283
   1.02866  0.00148  0.00703  0.65058  0.000364  0.000161  0.045900     2.269
   1.03077  0.00077  0.00504  0.54252  0.000337  0.000150  0.041954     2.254
   1.03277  0.00029  0.00309  0.41891  0.000317  0.000141  0.034832     2.242
   1.03468  0.00004  0.00120  0.28396  0.000302  0.000135  0.024809     2.239
   1.03651  0.00001 -0.00064  0.13992  0.000290  0.000130  0.012860     2.230
   1.03838  0.00020 -0.00249 -0.01566  0.000290  0.000130  0.001440     2.230
   1.04030  0.00065 -0.00436 -0.18016  0.000285  0.000128  0.016859     2.229
   1.04230  0.00137 -0.00623 -0.34070  0.000300  0.000134  0.029915     2.243
   1.04439  0.00239 -0.00805 -0.48859  0.000316  0.000141  0.040758     2.243
   1.04657  0.00369 -0.00980 -0.61648  0.000345  0.000152  0.045846     2.270
   1.04888  0.00527 -0.01148 -0.72067  0.000381  0.000167  0.047944     2.284
   1.05132  0.00712 -0.01307 -0.80357  0.000426  0.000185  0.046756     2.308
   1.05393  0.00925 -0.01459 -0.86839  0.000477  0.000205  0.044363     2.328
