#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00126  0.99805  0.053002  0.012937 -0.000039     4.097
   0.00630  0.99392  0.00292  1.00129  0.052276  0.012684 -0.000043     4.121
   0.01727  0.98333  0.00577  1.00714  0.050971  0.012239 -0.000050     4.165
   0.03004  0.97098  0.00904  1.01433  0.049510  0.011711 -0.000060     4.228
   0.04430  0.95718  0.01262  1.02291  0.047968  0.011109 -0.000073     4.318
   0.05958  0.94237  0.01638  1.03278  0.046426  0.010449 -0.000089     4.443
   0.07546  0.92696  0.02021  1.04385  0.044943  0.009748 -0.000109     4.611
   0.09164  0.91123  0.02403  1.05605  0.043552  0.009016 -0.000129     4.830
   0.10799  0.89533  0.02780  1.06939  0.042264  0.008261 -0.000150     5.116
   0.12441  0.87933  0.03149  1.08396  0.041073  0.007485 -0.000169     5.487
   0.14087  0.86327  0.03511  1.09989  0.039971  0.006688 -0.000188     5.976
   0.15734  0.84718  0.03864  1.11745  0.038934  0.005865 -0.000209     6.639
   0.17383  0.83106  0.04208  1.13721  0.037929  0.005000 -0.000239     7.586
   0.19032  0.81492  0.04544  1.15956  0.036916  0.004093 -0.000288     9.019
   0.20680  0.79875  0.04870  1.18569  0.035818  0.003116 -0.000309    11.493
   0.22329  0.78258  0.05188  1.21264  0.034613  0.002201 -0.000528    15.725
   0.23978  0.76638  0.05496  1.21314  0.033792  0.002188 -0.000532    15.442
   0.25626  0.75017  0.05796  1.21359  0.032794  0.002177 -0.000536    15.062
   0.27274  0.73395  0.06086  1.21402  0.031676  0.002167 -0.000540    14.615
   0.28921  0.71772  0.06368  1.21444  0.030471  0.002158 -0.000544    14.119
   0.30568  0.70148  0.06640  1.21487  0.029202  0.002149 -0.000548    13.587
   0.32214  0.68523  0.06902  1.21531  0.027884  0.002140 -0.000552    13.028
   0.33859  0.66898  0.07155  1.21578  0.026535  0.002131 -0.000557    12.450
   0.35503  0.65272  0.07398  1.21629  0.025161  0.002122 -0.000562    11.859
   0.37146  0.63645  0.07632  1.21685  0.023775  0.002112 -0.000568    11.259
   0.38788  0.62019  0.07855  1.21749  0.022383  0.002100 -0.000575    10.656
   0.40429  0.60392  0.08069  1.21822  0.020997  0.002088 -0.000583    10.055
   0.42068  0.58766  0.08272  1.21906  0.019620  0.002075 -0.000592     9.457
   0.43705  0.57140  0.08465  1.22005  0.018262  0.002059 -0.000603     8.869
   0.45341  0.55514  0.08647  1.22121  0.016929  0.002042 -0.000617     8.291
   0.46975  0.53889  0.08818  1.22260  0.015627  0.002022 -0.000633     7.728
   0.48606  0.52265  0.08978  1.22427  0.014363  0.002000 -0.000654     7.183
   0.50236  0.50642  0.09127  1.22628  0.013142  0.001974 -0.000680     6.657
   0.51863  0.49021  0.09264  1.22871  0.011974  0.001945 -0.000712     6.155
   0.53487  0.47402  0.09390  1.23166  0.010861  0.001913 -0.000748     5.679
   0.55108  0.45785  0.09503  1.23525  0.009808  0.001876 -0.000766     5.229
   0.56725  0.44172  0.09603  1.23960  0.008820  0.001834 -0.000742     4.810
   0.58335  0.42564  0.09690  1.24481  0.007900  0.001787 -0.000617     4.420
   0.59935  0.40965  0.09765  1.25083  0.007050  0.001737 -0.000325     4.059
   0.61519  0.39382  0.09824  1.25773  0.006262  0.001682  0.000203     3.724
   0.63085  0.37817  0.09865  1.26564  0.005598  0.001621  0.000910     3.453
   0.64639  0.36263  0.09885  1.27428  0.005049  0.001557  0.001733     3.243
