#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00126  1.19867  0.225183  0.002841 -0.000316    79.260
   0.00630  0.99392  0.00292  1.19871  0.223591  0.002836 -0.001171    78.848
   0.01727  0.98333  0.00577  1.19878  0.220757  0.002827 -0.001175    78.087
   0.03004  0.97098  0.00904  1.19885  0.217342  0.002818 -0.001178    77.113
   0.04430  0.95718  0.01262  1.19893  0.213443  0.002810 -0.001182    75.959
   0.05958  0.94237  0.01638  1.19901  0.209192  0.002802 -0.001186    74.659
   0.07546  0.92696  0.02021  1.19909  0.204711  0.002795 -0.001189    73.252
   0.09164  0.91123  0.02403  1.19916  0.200088  0.002788 -0.001192    71.766
   0.10799  0.89533  0.02780  1.19924  0.195377  0.002782 -0.001195    70.220
   0.12441  0.87933  0.03149  1.19931  0.190606  0.002777 -0.001197    68.626
   0.14087  0.86327  0.03511  1.19937  0.185797  0.002773 -0.001200    66.994
   0.15734  0.84718  0.03864  1.19944  0.180957  0.002770 -0.001201    65.329
   0.17383  0.83106  0.04208  1.19950  0.176097  0.002767 -0.001203    63.635
   0.19032  0.81492  0.04544  1.19956  0.171220  0.002765 -0.001204    61.917
   0.20680  0.79875  0.04870  1.19962  0.166332  0.002764 -0.001205    60.178
   0.22329  0.78258  0.05188  1.19967  0.161435  0.002763 -0.001206    58.420
   0.23978  0.76638  0.05496  1.19972  0.156533  0.002763 -0.001206    56.645
   0.25626  0.75017  0.05796  1.19977  0.151630  0.002764 -0.001206    54.859
   0.27274  0.73395  0.06086  1.19981  0.146729  0.002765 -0.001206    53.063
   0.28921  0.71772  0.06368  1.19985  0.141833  0.002767 -0.001206    51.259
   0.30568  0.70148  0.06640  1.19989  0.136943  0.002769 -0.001206    49.450
   0.32214  0.68523  0.06902  1.19993  0.132062  0.002772 -0.001205    47.638
   0.33859  0.66898  0.07155  1.19996  0.127195  0.002776 -0.001204    45.826
   0.35503  0.65272  0.07398  1.19998  0.122343  0.002779 -0.001203    44.017
   0.37146  0.63645  0.07632  1.20001  0.117507  0.002784 -0.001202    42.212
   0.38788  0.62019  0.07855  1.20003  0.112691  0.002788 -0.001201    40.414
   0.40429  0.60392  0.08069  1.20005  0.107899  0.002793 -0.001200    38.625
   0.42068  0.58766  0.08272  1.20006  0.103132  0.002799 -0.001199    36.848
   0.43705  0.57140  0.08465  1.20008  0.098395  0.002804 -0.001197    35.085
   0.45341  0.55514  0.08647  1.20009  0.093687  0.002810 -0.001196    33.338
   0.46975  0.53889  0.08818  1.20010  0.089014  0.002816 -0.001195    31.608
   0.48606  0.52265  0.08978  1.20011  0.084379  0.002822 -0.001194    29.899
   0.50236  0.50642  0.09127  1.20012  0.079784  0.002828 -0.001193    28.212
   0.51863  0.49021  0.09264  1.20014  0.075234  0.002834 -0.001193    26.550
   0.53487  0.47402  0.09390  1.20016  0.070732  0.002839 -0.001193    24.913
   0.55108  0.45785  0.09503  1.20019  0.066281  0.002844 -0.001193    23.305
   0.56725  0.44172  0.09603  1.20023  0.061889  0.002848 -0.001194    21.727
   0.58335  0.42564  0.09690  1.20029  0.057561  0.002852 -0.001196    20.183
   0.59935  0.40965  0.09765  1.20037  0.053313  0.002854 -0.001199    18.678
   0.61519  0.39382  0.09824  1.20048  0.049151  0.002855 -0.001204    17.213
   0.63085  0.37817  0.09865  1.20066  0.045151  0.002854 -0.001210    15.820
   0.64639  0.36263  0.09885  1.20093  0.041312  0.002850 -0.001219    14.497
   0.66187  0.34716  0.09884  1.20132  0.037630  0.002842 -0.001231    13.242
   0.67728  0.33174  0.09863  1.20186  0.034111  0.002830 -0.001247    12.055
   0.69264  0.31639  0.09821  1.20262  0.030758  0.002812 -0.001268    10.937
   0.70795  0.30109  0.09757  1.20365  0.027581  0.002789 -0.001296     9.888
   0.72321  0.28586  0.09672  1.20505  0.024587  0.002759 -0.001333     8.910
   0.73841  0.27069  0.09564  1.20693  0.021784  0.002722 -0.001382     8.003
   0.75355  0.25561  0.09433  1.20945  0.019183  0.002675 -0.001450     7.170
   0.76863  0.24061  0.09280  1.21279  0.016788  0.002619 -0.001542     6.411
   0.78363  0.22571  0.09103  1.21721  0.014614  0.002551 -0.001658     5.729
   0.79855  0.21092  0.08902  1.22300  0.012662  0.002471 -0.001717     5.124
   0.81339  0.19626  0.08678  1.23046  0.010935  0.002378 -0.001565     4.598
   0.82811  0.18175  0.08429  1.23972  0.009437  0.002273 -0.000965     4.151
   0.84271  0.16741  0.08155  1.25070  0.008156  0.002159  0.000222     3.778
   0.85717  0.15327  0.07856  1.26353  0.007082  0.002034  0.001964     3.482
   0.87144  0.13937  0.07533  1.27778  0.006191  0.001902  0.004141     3.255
   0.88548  0.12576  0.07185  1.29271  0.005458  0.001769  0.006603     3.085
   0.89921  0.11254  0.06815  1.30751  0.004852  0.001640  0.009224     2.959
   0.91255  0.09978  0.06426  1.32162  0.004342  0.001516  0.011966     2.864
   0.92536  0.08762  0.06020  1.33460  0.003909  0.001399  0.014759     2.795
   0.93750  0.07622  0.05606  1.34626  0.003534  0.001289  0.017630     2.742
   0.94879  0.06572  0.05190  1.35651  0.003202  0.001185  0.020624     2.701
   0.95911  0.05625  0.04782  1.36525  0.002909  0.001090  0.023758     2.670
   0.96837  0.04786  0.04389  1.37254  0.002645  0.001001  0.027129     2.643
   0.97657  0.04055  0.04017  1.37832  0.002408  0.000920  0.030771     2.619
   0.98379  0.03423  0.03668  1.38253  0.002196  0.000845  0.034675     2.598
   0.99012  0.02879  0.03343  1.38521  0.002005  0.000777  0.038881     2.579
   0.99570  0.02411  0.03040  1.38638  0.001827  0.000715  0.043797     2.556
   1.00063  0.02008  0.02756  1.38543  0.001667  0.000657  0.049049     2.536
   1.00502  0.01660  0.02489  1.38232  0.001519  0.000604  0.054973     2.515
   1.00896  0.01357  0.02236  1.37649  0.001384  0.000555  0.061388     2.494
   1.01253  0.01095  0.01995  1.36756  0.001256  0.000509  0.069032     2.469
   1.01577  0.00867  0.01764  1.35410  0.001141  0.000466  0.076995     2.447
   1.01874  0.00671  0.01541  1.33553  0.001033  0.000427  0.086025     2.422
   1.02149  0.00502  0.01324  1.31008  0.000936  0.000390  0.095498     2.398
   1.02404  0.00360  0.01113  1.27612  0.000846  0.000357  0.105551     2.372
   1.02642  0.00242  0.00906  1.23120  0.000766  0.000326  0.115197     2.347
   1.02866  0.00148  0.00703  1.17278  0.000695  0.000300  0.124291     2.319
   1.03077  0.00077  0.00504  1.09806  0.000637  0.000277  0.129651     2.297
   1.03277  0.00029  0.00309  1.00675  0.000589  0.000259  0.130971     2.276
   1.03468  0.00004  0.00120  0.89908  0.000553  0.000245  0.126361     2.261
   1.03651  0.00001 -0.00064  0.77758  0.000526  0.000234  0.116166     2.248
   1.03838  0.00020 -0.00249  0.63680  0.000508  0.000227  0.099851     2.234
   1.04030  0.00065 -0.00436  0.47937  0.000502  0.000225  0.076222     2.232
   1.04230  0.00137 -0.00623  0.31146  0.000508  0.000229  0.049663     2.215
   1.04439  0.00239 -0.00805  0.14744  0.000542  0.000243  0.021755     2.230
   1.04657  0.00369 -0.00980 -0.00928  0.000542  0.000243  0.001369     2.230
   1.04888  0.00527 -0.01148 -0.14638  0.000626  0.000280  0.018621     2.235
   1.05132  0.00712 -0.01307 -0.26436  0.000673  0.000300  0.031020     2.243
   1.05393  0.00925 -0.01459 -0.36489  0.000747  0.000330  0.037842     2.265
   1.05675  0.01167 -0.01603 -0.44960  0.000823  0.000362  0.042100     2.270
