#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00126  1.01069  0.050914  0.009135 -0.000129     5.574
   0.00630  0.99392  0.00292  1.01503  0.050285  0.008841 -0.000133     5.688
   0.01727  0.98333  0.00577  1.02292  0.049132  0.008324 -0.000141     5.902
   0.03004  0.97098  0.00904  1.03272  0.047835  0.007709 -0.000151     6.205
   0.04430  0.95718  0.01262  1.04456  0.046448  0.007005 -0.000163     6.631
   0.05958  0.94237  0.01638  1.05850  0.045028  0.006224 -0.000181     7.234
   0.07546  0.92696  0.02021  1.07481  0.043595  0.005369 -0.000207     8.119
   0.09164  0.91123  0.02403  1.09366  0.042151  0.004452 -0.000247     9.468
   0.10799  0.89533  0.02780  1.11601  0.040643  0.003450 -0.000274    11.780
   0.12441  0.87933  0.03149  1.14288  0.038971  0.002352 -0.000465    16.568
   0.14087  0.86327  0.03511  1.14319  0.037863  0.002343 -0.000467    16.157
   0.15734  0.84718  0.03864  1.14347  0.036599  0.002336 -0.000470    15.666
   0.17383  0.83106  0.04208  1.14373  0.035235  0.002330 -0.000472    15.124
   0.19032  0.81492  0.04544  1.14399  0.033805  0.002324 -0.000475    14.547
   0.20680  0.79875  0.04870  1.14426  0.032333  0.002318 -0.000477    13.949
   0.22329  0.78258  0.05188  1.14455  0.030830  0.002312 -0.000480    13.335
   0.23978  0.76638  0.05496  1.14486  0.029311  0.002306 -0.000484    12.713
   0.25626  0.75017  0.05796  1.14521  0.027787  0.002299 -0.000487    12.089
   0.27274  0.73395  0.06086  1.14560  0.026266  0.002291 -0.000492    11.467
   0.28921  0.71772  0.06368  1.14606  0.024756  0.002282 -0.000497    10.850
   0.30568  0.70148  0.06640  1.14660  0.023265  0.002272 -0.000503    10.242
   0.32214  0.68523  0.06902  1.14722  0.021797  0.002260 -0.000510     9.645
   0.33859  0.66898  0.07155  1.14797  0.020361  0.002246 -0.000518     9.064
   0.35503  0.65272  0.07398  1.14886  0.018961  0.002231 -0.000528     8.499
   0.37146  0.63645  0.07632  1.14992  0.017603  0.002213 -0.000541     7.953
   0.38788  0.62019  0.07855  1.15119  0.016292  0.002193 -0.000555     7.428
   0.40429  0.60392  0.08069  1.15272  0.015035  0.002170 -0.000574     6.928
   0.42068  0.58766  0.08272  1.15455  0.013834  0.002144 -0.000596     6.452
   0.43705  0.57140  0.08465  1.15674  0.012697  0.002114 -0.000623     6.005
   0.45341  0.55514  0.08647  1.15937  0.011626  0.002081 -0.000649     5.586
   0.46975  0.53889  0.08818  1.16250  0.010625  0.002044 -0.000660     5.198
   0.48606  0.52265  0.08978  1.16620  0.009697  0.002003 -0.000645     4.841
   0.50236  0.50642  0.09127  1.17053  0.008843  0.001958 -0.000573     4.517
   0.51863  0.49021  0.09264  1.17549  0.008062  0.001908 -0.000422     4.225
