#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00126  1.00573  0.064217  0.017153  0.000013     3.744
   0.00630  0.99392  0.00292  1.00792  0.063277  0.016941  0.000014     3.735
   0.01727  0.98333  0.00577  1.01184  0.061606  0.016568  0.000017     3.718
   0.03004  0.97098  0.00904  1.01665  0.059696  0.016125  0.000021     3.702
   0.04430  0.95718  0.01262  1.02236  0.057637  0.015619  0.000024     3.690
   0.05958  0.94237  0.01638  1.02892  0.055530  0.015060  0.000025     3.687
   0.07546  0.92696  0.02021  1.03626  0.053457  0.014463  0.000025     3.696
   0.09164  0.91123  0.02403  1.04434  0.051471  0.013835  0.000021     3.720
   0.10799  0.89533  0.02780  1.05317  0.049598  0.013182  0.000013     3.762
   0.12441  0.87933  0.03149  1.06277  0.047848  0.012507  0.000001     3.826
   0.14087  0.86327  0.03511  1.07319  0.046229  0.011811 -0.000017     3.914
   0.15734  0.84718  0.03864  1.08447  0.044738  0.011096 -0.000040     4.032
   0.17383  0.83106  0.04208  1.09667  0.043372  0.010364 -0.000067     4.185
   0.19032  0.81492  0.04544  1.10981  0.042124  0.009617 -0.000098     4.380
   0.20680  0.79875  0.04870  1.12398  0.040988  0.008856 -0.000130     4.628
   0.22329  0.78258  0.05188  1.13926  0.039949  0.008082 -0.000159     4.943
   0.23978  0.76638  0.05496  1.15577  0.038994  0.007293 -0.000185     5.347
   0.25626  0.75017  0.05796  1.17371  0.038107  0.006487 -0.000208     5.874
   0.27274  0.73395  0.06086  1.19337  0.037265  0.005660 -0.000232     6.584
   0.28921  0.71772  0.06368  1.21546  0.036430  0.004792 -0.000267     7.603
   0.30568  0.70148  0.06640  1.24048  0.035560  0.003879 -0.000324     9.166
   0.32214  0.68523  0.06902  1.26992  0.034569  0.002891 -0.000355    11.959
   0.33859  0.66898  0.07155  1.29933  0.033464  0.001996 -0.000622    16.764
   0.35503  0.65272  0.07398  1.29991  0.032697  0.001983 -0.000627    16.492
   0.37146  0.63645  0.07632  1.30043  0.031729  0.001971 -0.000632    16.097
   0.38788  0.62019  0.07855  1.30092  0.030616  0.001961 -0.000637    15.612
   0.40429  0.60392  0.08069  1.30139  0.029398  0.001952 -0.000641    15.061
   0.42068  0.58766  0.08272  1.30185  0.028095  0.001943 -0.000646    14.456
   0.43705  0.57140  0.08465  1.30233  0.026729  0.001935 -0.000651    13.812
   0.45341  0.55514  0.08647  1.30283  0.025311  0.001927 -0.000657    13.135
   0.46975  0.53889  0.08818  1.30336  0.023856  0.001918 -0.000663    12.435
   0.48606  0.52265  0.08978  1.30395  0.022373  0.001909 -0.000670    11.718
   0.50236  0.50642  0.09127  1.30463  0.020873  0.001899 -0.000678    10.989
   0.51863  0.49021  0.09264  1.30541  0.019367  0.001888 -0.000689    10.256
   0.53487  0.47402  0.09390  1.30634  0.017862  0.001876 -0.000701     9.523
   0.55108  0.45785  0.09503  1.30746  0.016366  0.001861 -0.000716     8.793
   0.56725  0.44172  0.09603  1.30884  0.014890  0.001844 -0.000736     8.074
   0.58335  0.42564  0.09690  1.31056  0.013443  0.001824 -0.000762     7.369
   0.59935  0.40965  0.09765  1.31272  0.012037  0.001801 -0.000797     6.683
   0.61519  0.39382  0.09824  1.31547  0.010679  0.001774 -0.000844     6.021
   0.63085  0.37817  0.09865  1.31902  0.009442  0.001741 -0.000884     5.424
   0.64639  0.36263  0.09885  1.32358  0.008334  0.001702 -0.000872     4.895
   0.66187  0.34716  0.09884  1.32926  0.007355  0.001658 -0.000720     4.436
   0.67728  0.33174  0.09863  1.33601  0.006502  0.001609 -0.000350     4.042
