#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00126  1.17936  0.189411  0.003077 -0.000306    61.565
   0.00630  0.99392  0.00292  1.17940  0.187975  0.003073 -0.001066    61.171
   0.01727  0.98333  0.00577  1.17946  0.185408  0.003067 -0.001068    60.443
   0.03004  0.97098  0.00904  1.17952  0.182312  0.003062 -0.001070    59.531
   0.04430  0.95718  0.01262  1.17958  0.178779  0.003058 -0.001071    58.464
   0.05958  0.94237  0.01638  1.17965  0.174929  0.003054 -0.001073    57.277
   0.07546  0.92696  0.02021  1.17971  0.170871  0.003051 -0.001074    56.005
   0.09164  0.91123  0.02403  1.17976  0.166689  0.003049 -0.001076    54.674
   0.10799  0.89533  0.02780  1.17982  0.162430  0.003047 -0.001077    53.304
   0.12441  0.87933  0.03149  1.17987  0.158121  0.003046 -0.001077    51.903
   0.14087  0.86327  0.03511  1.17992  0.153783  0.003046 -0.001078    50.481
   0.15734  0.84718  0.03864  1.17996  0.149421  0.003047 -0.001078    49.041
   0.17383  0.83106  0.04208  1.18000  0.145047  0.003048 -0.001078    47.589
   0.19032  0.81492  0.04544  1.18004  0.140663  0.003050 -0.001078    46.126
   0.20680  0.79875  0.04870  1.18007  0.136276  0.003052 -0.001078    44.658
   0.22329  0.78258  0.05188  1.18011  0.131888  0.003054 -0.001077    43.184
   0.23978  0.76638  0.05496  1.18014  0.127501  0.003057 -0.001077    41.707
   0.25626  0.75017  0.05796  1.18016  0.123122  0.003060 -0.001076    40.231
   0.27274  0.73395  0.06086  1.18019  0.118752  0.003064 -0.001076    38.757
   0.28921  0.71772  0.06368  1.18021  0.114395  0.003068 -0.001075    37.287
   0.30568  0.70148  0.06640  1.18023  0.110052  0.003072 -0.001075    35.823
   0.32214  0.68523  0.06902  1.18026  0.105726  0.003076 -0.001074    34.366
   0.33859  0.66898  0.07155  1.18027  0.101422  0.003081 -0.001073    32.918
   0.35503  0.65272  0.07398  1.18029  0.097141  0.003086 -0.001073    31.482
   0.37146  0.63645  0.07632  1.18031  0.092885  0.003090 -0.001072    30.057
   0.38788  0.62019  0.07855  1.18033  0.088658  0.003095 -0.001072    28.646
   0.40429  0.60392  0.08069  1.18036  0.084465  0.003099 -0.001072    27.252
   0.42068  0.58766  0.08272  1.18038  0.080304  0.003104 -0.001072    25.874
   0.43705  0.57140  0.08465  1.18042  0.076184  0.003108 -0.001072    24.515
   0.45341  0.55514  0.08647  1.18046  0.072102  0.003111 -0.001073    23.175
   0.46975  0.53889  0.08818  1.18051  0.068067  0.003114 -0.001074    21.857
   0.48606  0.52265  0.08978  1.18057  0.064079  0.003116 -0.001076    20.562
   0.50236  0.50642  0.09127  1.18066  0.060143  0.003118 -0.001078    19.290
   0.51863  0.49021  0.09264  1.18077  0.056264  0.003118 -0.001082    18.044
   0.53487  0.47402  0.09390  1.18091  0.052445  0.003117 -0.001086    16.825
   0.55108  0.45785  0.09503  1.18110  0.048689  0.003114 -0.001092    15.634
   0.56725  0.44172  0.09603  1.18135  0.045005  0.003109 -0.001099    14.473
   0.58335  0.42564  0.09690  1.18167  0.041400  0.003102 -0.001108    13.345
   0.59935  0.40965  0.09765  1.18210  0.037886  0.003092 -0.001121    12.252
   0.61519  0.39382  0.09824  1.18266  0.034472  0.003079 -0.001136    11.197
