#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00126  1.00448  0.050952  0.010457 -0.000107     4.873
   0.00630  0.99392  0.00292  1.00842  0.050308  0.010178 -0.000112     4.943
   0.01727  0.98333  0.00577  1.01553  0.049134  0.009689 -0.000121     5.071
   0.03004  0.97098  0.00904  1.02433  0.047822  0.009110 -0.000131     5.249
   0.04430  0.95718  0.01262  1.03486  0.046433  0.008449 -0.000143     5.496
   0.05958  0.94237  0.01638  1.04708  0.045036  0.007723 -0.000156     5.831
   0.07546  0.92696  0.02021  1.06094  0.043672  0.006948 -0.000171     6.286
   0.09164  0.91123  0.02403  1.07653  0.042357  0.006130 -0.000190     6.909
   0.10799  0.89533  0.02780  1.09430  0.041077  0.005261 -0.000217     7.808
   0.12441  0.87933  0.03149  1.11454  0.039801  0.004342 -0.000260     9.166
   0.14087  0.86327  0.03511  1.13830  0.038464  0.003350 -0.000285    11.483
   0.15734  0.84718  0.03864  1.16570  0.036983  0.002308 -0.000484    16.026
   0.17383  0.83106  0.04208  1.16609  0.036002  0.002297 -0.000487    15.673
   0.19032  0.81492  0.04544  1.16644  0.034857  0.002288 -0.000490    15.234
   0.20680  0.79875  0.04870  1.16676  0.033606  0.002280 -0.000493    14.738
   0.22329  0.78258  0.05188  1.16709  0.032280  0.002273 -0.000496    14.203
   0.23978  0.76638  0.05496  1.16742  0.030903  0.002265 -0.000499    13.641
   0.25626  0.75017  0.05796  1.16777  0.029490  0.002258 -0.000503    13.060
   0.27274  0.73395  0.06086  1.16815  0.028056  0.002250 -0.000506    12.468
   0.28921  0.71772  0.06368  1.16857  0.026610  0.002242 -0.000511    11.869
   0.30568  0.70148  0.06640  1.16904  0.025161  0.002233 -0.000516    11.269
   0.32214  0.68523  0.06902  1.16957  0.023717  0.002223 -0.000522    10.670
   0.33859  0.66898  0.07155  1.17019  0.022287  0.002211 -0.000528    10.078
   0.35503  0.65272  0.07398  1.17091  0.020875  0.002199 -0.000536     9.495
   0.37146  0.63645  0.07632  1.17176  0.019490  0.002184 -0.000546     8.923
   0.38788  0.62019  0.07855  1.17276  0.018136  0.002168 -0.000557     8.367
   0.40429  0.60392  0.08069  1.17395  0.016822  0.002149 -0.000571     7.828
   0.42068  0.58766  0.08272  1.17537  0.015549  0.002128 -0.000587     7.308
   0.43705  0.57140  0.08465  1.17707  0.014328  0.002103 -0.000608     6.812
   0.45341  0.55514  0.08647  1.17911  0.013159  0.002076 -0.000633     6.338
   0.46975  0.53889  0.08818  1.18155  0.012051  0.002045 -0.000663     5.892
   0.48606  0.52265  0.08978  1.18447  0.011005  0.002011 -0.000687     5.473
   0.50236  0.50642  0.09127  1.18797  0.010028  0.001972 -0.000694     5.085
   0.51863  0.49021  0.09264  1.19210  0.009121  0.001929 -0.000661     4.728
   0.53487  0.47402  0.09390  1.19693  0.008285  0.001882 -0.000553     4.402
   0.55108  0.45785  0.09503  1.20241  0.007517  0.001832 -0.000342     4.104
   0.56725  0.44172  0.09603  1.20856  0.006818  0.001778 -0.000007     3.835
   0.58335  0.42564  0.09690  1.21549  0.006180  0.001719  0.000465     3.595
   0.59935  0.40965  0.09765  1.22320  0.005602  0.001657  0.001080     3.381
   0.61519  0.39382  0.09824  1.23160  0.005066  0.001590  0.001876     3.185
   0.63085  0.37817  0.09865  1.24007  0.004622  0.001524  0.002721     3.033
   0.64639  0.36263  0.09885  1.24817  0.004258  0.001460  0.003563     2.916
   0.66187  0.34716  0.09884  1.25561  0.003954  0.001399  0.004388     2.826
   0.67728  0.33174  0.09863  1.26218  0.003696  0.001342  0.005180     2.755
   0.69264  0.31639  0.09821  1.26781  0.003473  0.001287  0.005949     2.698
   0.70795  0.30109  0.09757  1.27239  0.003279  0.001236  0.006681     2.653
   0.72321  0.28586  0.09672  1.27593  0.003106  0.001187  0.007390     2.615
   0.73841  0.27069  0.09564  1.27844  0.002948  0.001141  0.008085     2.584
   0.75355  0.25561  0.09433  1.27985  0.002805  0.001096  0.008757     2.558
   0.76863  0.24061  0.09280  1.28023  0.002670  0.001053  0.009434     2.536
   0.78363  0.22571  0.09103  1.27946  0.002545  0.001011  0.010098     2.517
   0.79855  0.21092  0.08902  1.27757  0.002426  0.000970  0.010766     2.500
   0.81339  0.19626  0.08678  1.27453  0.002311  0.000930  0.011457     2.485
   0.82811  0.18175  0.08429  1.27019  0.002201  0.000890  0.012145     2.473
   0.84271  0.16741  0.08155  1.26455  0.002094  0.000850  0.012864     2.462
   0.85717  0.15327  0.07856  1.25748  0.001988  0.000811  0.013610     2.452
   0.87144  0.13937  0.07533  1.24887  0.001885  0.000772  0.014397     2.442
   0.88548  0.12576  0.07185  1.23857  0.001782  0.000732  0.015243     2.433
