#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00126  0.99847  0.055385  0.014135 -0.000014     3.918
   0.00630  0.99392  0.00292  1.00138  0.054603  0.013893 -0.000016     3.930
   0.01727  0.98333  0.00577  1.00662  0.053205  0.013469 -0.000019     3.950
   0.03004  0.97098  0.00904  1.01307  0.051631  0.012966 -0.000025     3.982
   0.04430  0.95718  0.01262  1.02076  0.049961  0.012391 -0.000033     4.032
   0.05958  0.94237  0.01638  1.02961  0.048284  0.011758 -0.000046     4.106
   0.07546  0.92696  0.02021  1.03952  0.046664  0.011085 -0.000063     4.210
   0.09164  0.91123  0.02403  1.05043  0.045140  0.010382 -0.000083     4.348
   0.10799  0.89533  0.02780  1.06234  0.043729  0.009656 -0.000106     4.529
   0.12441  0.87933  0.03149  1.07527  0.042431  0.008911 -0.000131     4.762
   0.14087  0.86327  0.03511  1.08929  0.041243  0.008149 -0.000154     5.061
   0.15734  0.84718  0.03864  1.10451  0.040153  0.007370 -0.000175     5.448
   0.17383  0.83106  0.04208  1.12109  0.039144  0.006571 -0.000195     5.957
   0.19032  0.81492  0.04544  1.13934  0.038194  0.005749 -0.000217     6.644
   0.20680  0.79875  0.04870  1.15984  0.037267  0.004886 -0.000249     7.628
   0.22329  0.78258  0.05188  1.18301  0.036321  0.003981 -0.000301     9.125
   0.23978  0.76638  0.05496  1.21016  0.035272  0.003004 -0.000322    11.743
   0.25626  0.75017  0.05796  1.23654  0.034140  0.002142 -0.000553    15.940
   0.27274  0.73395  0.06086  1.23707  0.033349  0.002128 -0.000558    15.668
   0.28921  0.71772  0.06368  1.23755  0.032376  0.002117 -0.000562    15.293
   0.30568  0.70148  0.06640  1.23800  0.031277  0.002107 -0.000566    14.845
   0.32214  0.68523  0.06902  1.23844  0.030085  0.002098 -0.000570    14.343
   0.33859  0.66898  0.07155  1.23889  0.028826  0.002088 -0.000574    13.802
   0.35503  0.65272  0.07398  1.23935  0.027513  0.002080 -0.000578    13.230
   0.37146  0.63645  0.07632  1.23984  0.026161  0.002070 -0.000583    12.636
   0.38788  0.62019  0.07855  1.24037  0.024781  0.002061 -0.000589    12.024
   0.40429  0.60392  0.08069  1.24095  0.023386  0.002051 -0.000595    11.403
   0.42068  0.58766  0.08272  1.24160  0.021981  0.002040 -0.000603    10.775
   0.43705  0.57140  0.08465  1.24235  0.020577  0.002028 -0.000611    10.147
   0.45341  0.55514  0.08647  1.24323  0.019180  0.002014 -0.000621     9.522
   0.46975  0.53889  0.08818  1.24425  0.017799  0.001999 -0.000633     8.903
   0.48606  0.52265  0.08978  1.24547  0.016439  0.001982 -0.000648     8.295
   0.50236  0.50642  0.09127  1.24694  0.015109  0.001962 -0.000666     7.701
   0.51863  0.49021  0.09264  1.24871  0.013816  0.001940 -0.000689     7.124
   0.53487  0.47402  0.09390  1.25087  0.012568  0.001914 -0.000719     6.567
   0.55108  0.45785  0.09503  1.25352  0.011366  0.001884 -0.000756     6.032
   0.56725  0.44172  0.09603  1.25678  0.010224  0.001850 -0.000792     5.525
   0.58335  0.42564  0.09690  1.26080  0.009142  0.001812 -0.000799     5.045
   0.59935  0.40965  0.09765  1.26572  0.008129  0.001768 -0.000721     4.598
   0.61519  0.39382  0.09824  1.27160  0.007183  0.001720 -0.000462     4.177
   0.63085  0.37817  0.09865  1.27834  0.006368  0.001667  0.000020     3.820
   0.64639  0.36263  0.09885  1.28616  0.005681  0.001609  0.000699     3.531
   0.66187  0.34716  0.09884  1.29487  0.005108  0.001546  0.001519     3.304
   0.67728  0.33174  0.09863  1.30400  0.004637  0.001482  0.002414     3.129
   0.69264  0.31639  0.09821  1.31308  0.004246  0.001418  0.003338     2.994
   0.70795  0.30109  0.09757  1.32168  0.003921  0.001356  0.004256     2.890
   0.72321  0.28586  0.09672  1.32950  0.003649  0.001298  0.005140     2.811
   0.73841  0.27069  0.09564  1.33645  0.003413  0.001243  0.006003     2.747
   0.75355  0.25561  0.09433  1.34238  0.003210  0.001190  0.006823     2.697
   0.76863  0.24061  0.09280  1.34734  0.003028  0.001140  0.007629     2.656
   0.78363  0.22571  0.09103  1.35124  0.002865  0.001092  0.008408     2.623
   0.79855  0.21092  0.08902  1.35413  0.002714  0.001046  0.009178     2.596
   0.81339  0.19626  0.08678  1.35600  0.002574  0.001001  0.009948     2.573
   0.82811  0.18175  0.08429  1.35679  0.002444  0.000957  0.010706     2.554
   0.84271  0.16741  0.08155  1.35664  0.002316  0.000913  0.011512     2.537
   0.85717  0.15327  0.07856  1.35528  0.002197  0.000870  0.012301     2.524
   0.87144  0.13937  0.07533  1.35291  0.002078  0.000828  0.013157     2.511
   0.88548  0.12576  0.07185  1.34933  0.001963  0.000785  0.014054     2.500
   0.89921  0.11254  0.06815  1.34448  0.001850  0.000742  0.014990     2.492
   0.91255  0.09978  0.06426  1.33842  0.001737  0.000700  0.016033     2.484
   0.92536  0.08762  0.06020  1.33095  0.001627  0.000657  0.017140     2.477
   0.93750  0.07622  0.05606  1.32219  0.001518  0.000615  0.018387     2.470
   0.94879  0.06572  0.05190  1.31201  0.001412  0.000573  0.019742     2.464
   0.95911  0.05625  0.04782  1.30052  0.001309  0.000533  0.021239     2.458
   0.96837  0.04786  0.04389  1.28773  0.001211  0.000494  0.022910     2.450
   0.97657  0.04055  0.04017  1.27355  0.001120  0.000458  0.024666     2.444
   0.98379  0.03423  0.03668  1.25810  0.001034  0.000425  0.026618     2.435
   0.99012  0.02879  0.03343  1.24109  0.000955  0.000393  0.028659     2.428
   0.99570  0.02411  0.03040  1.22242  0.000879  0.000364  0.031048     2.416
   1.00063  0.02008  0.02756  1.20121  0.000811  0.000337  0.033378     2.407
   1.00502  0.01660  0.02489  1.17754  0.000745  0.000311  0.036059     2.394
   1.00896  0.01357  0.02236  1.15031  0.000686  0.000288  0.038691     2.383
   1.01253  0.01095  0.01995  1.11918  0.000629  0.000265  0.041634     2.369
   1.01577  0.00867  0.01764  1.08270  0.000576  0.000245  0.044540     2.355
   1.01874  0.00671  0.01541  1.03973  0.000526  0.000225  0.047570     2.339
   1.02149  0.00502  0.01324  0.98870  0.000482  0.000207  0.049888     2.328
   1.02404  0.00360  0.01113  0.92826  0.000439  0.000190  0.052512     2.307
   1.02642  0.00242  0.00906  0.85467  0.000402  0.000176  0.053600     2.291
   1.02866  0.00148  0.00703  0.76777  0.000370  0.000162  0.052845     2.279
   1.03077  0.00077  0.00504  0.66572  0.000342  0.000151  0.050604     2.259
   1.03277  0.00029  0.00309  0.54836  0.000321  0.000142  0.044541     2.255
   1.03468  0.00004  0.00120  0.41710  0.000303  0.000136  0.036602     2.233
   1.03651  0.00001 -0.00064  0.27627  0.000296  0.000132  0.024692     2.238
   1.03838  0.00020 -0.00249  0.12343  0.000285  0.000128  0.011548     2.230
   1.04030  0.00065 -0.00436 -0.04338  0.000285  0.000128  0.004063     2.230
   1.04230  0.00137 -0.00623 -0.20530  0.000300  0.000134  0.018164     2.235
   1.04439  0.00239 -0.00805 -0.35924  0.000311  0.000139  0.030653     2.235
   1.04657  0.00369 -0.00980 -0.49372  0.000341  0.000151  0.037347     2.265
   1.04888  0.00527 -0.01148 -0.60490  0.000375  0.000165  0.041440     2.271
   1.05132  0.00712 -0.01307 -0.69613  0.000417  0.000182  0.042011     2.293
   1.05393  0.00925 -0.01459 -0.76832  0.000466  0.000201  0.040707     2.313
   1.05675  0.01167 -0.01603 -0.82600  0.000519  0.000223  0.038628     2.330
   1.05979  0.01438 -0.01741 -0.87156  0.000581  0.000247  0.035690     2.352
   1.06312  0.01744 -0.01873 -0.90736  0.000648  0.000273  0.032630     2.373
   1.06679  0.02087 -0.02000 -0.93618  0.000719  0.000301  0.029831     2.390
   1.07086  0.02476 -0.02123 -0.95898  0.000800  0.000332  0.026893     2.411
   1.07542  0.02916 -0.02242 -0.97689  0.000888  0.000365  0.024166     2.431
   1.08058  0.03419 -0.02357 -0.99094  0.000985  0.000402  0.021674     2.450
   1.08647  0.03998 -0.02467 -1.00183  0.001092  0.000442  0.019380     2.469
   1.09325  0.04667 -0.02572 -1.00992  0.001212  0.000487  0.017244     2.489
   1.10108  0.05445 -0.02670 -1.01522  0.001348  0.000537  0.015190     2.513
   1.11013  0.06345 -0.02758 -1.01832  0.001498  0.000591  0.013419     2.533
   1.12048  0.07377 -0.02833 -1.01937  0.001664  0.000651  0.011804     2.555
   1.13215  0.08543 -0.02891 -1.01867  0.001844  0.000716  0.010387     2.577
