#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00126  1.20484  0.326114  0.023125 -0.000151    14.103
   0.00630  0.99392  0.00292  1.20565  0.323944  0.022875 -0.000153    14.161
   0.01727  0.98333  0.00577  1.20708  0.320150  0.022439 -0.000156    14.267
   0.03004  0.97098  0.00904  1.20878  0.315623  0.021930 -0.000160    14.392
   0.04430  0.95718  0.01262  1.21073  0.310500  0.021358 -0.000164    14.538
   0.05958  0.94237  0.01638  1.21287  0.304955  0.020740 -0.000169    14.704
   0.07546  0.92696  0.02021  1.21517  0.299151  0.020091 -0.000175    14.889
   0.09164  0.91123  0.02403  1.21760  0.293199  0.019423 -0.000181    15.095
   0.10799  0.89533  0.02780  1.22013  0.287164  0.018741 -0.000188    15.323
   0.12441  0.87933  0.03149  1.22278  0.281083  0.018047 -0.000195    15.575
   0.14087  0.86327  0.03511  1.22554  0.274976  0.017341 -0.000203    15.857
   0.15734  0.84718  0.03864  1.22842  0.268852  0.016623 -0.000212    16.173
   0.17383  0.83106  0.04208  1.23147  0.262714  0.015887 -0.000222    16.537
   0.19032  0.81492  0.04544  1.23468  0.256565  0.015129 -0.000234    16.958
   0.20680  0.79875  0.04870  1.23807  0.250412  0.014356 -0.000247    17.443
   0.22329  0.78258  0.05188  1.24164  0.244255  0.013565 -0.000261    18.006
   0.23978  0.76638  0.05496  1.24541  0.238095  0.012754 -0.000279    18.668
   0.25626  0.75017  0.05796  1.24943  0.231932  0.011919 -0.000298    19.459
   0.27274  0.73395  0.06086  1.25372  0.225763  0.011056 -0.000322    20.420
   0.28921  0.71772  0.06368  1.25835  0.219583  0.010160 -0.000348    21.613
   0.30568  0.70148  0.06640  1.26337  0.213386  0.009221 -0.000351    23.140
   0.32214  0.68523  0.06902  1.26889  0.207161  0.008229 -0.000354    25.173
   0.33859  0.66898  0.07155  1.27502  0.200898  0.007172 -0.000358    28.013
   0.35503  0.65272  0.07398  1.28204  0.194561  0.006012 -0.000362    32.362
   0.37146  0.63645  0.07632  1.29051  0.188075  0.004674 -0.000366    40.242
   0.38788  0.62019  0.07855  1.30225  0.181197  0.002877 -0.000373    62.976
   0.40429  0.60392  0.08069  1.30790  0.175140  0.002086 -0.001736    83.954
   0.42068  0.58766  0.08272  1.30809  0.169717  0.002070 -0.001750    82.000
   0.43705  0.57140  0.08465  1.30827  0.164229  0.002054 -0.001764    79.939
   0.45341  0.55514  0.08647  1.30845  0.158687  0.002040 -0.001777    77.783
   0.46975  0.53889  0.08818  1.30863  0.153109  0.002027 -0.001789    75.544
   0.48606  0.52265  0.08978  1.30881  0.147499  0.002014 -0.001801    73.225
   0.50236  0.50642  0.09127  1.30898  0.141865  0.002003 -0.001812    70.832
   0.51863  0.49021  0.09264  1.30916  0.136214  0.001992 -0.001822    68.371
   0.53487  0.47402  0.09390  1.30933  0.130549  0.001983 -0.001832    65.845
   0.55108  0.45785  0.09503  1.30950  0.124876  0.001974 -0.001841    63.259
   0.56725  0.44172  0.09603  1.30967  0.119201  0.001966 -0.001849    60.617
   0.58335  0.42564  0.09690  1.30984  0.113533  0.001960 -0.001856    57.927
   0.59935  0.40965  0.09765  1.31000  0.107887  0.001954 -0.001863    55.200
   0.61519  0.39382  0.09824  1.31015  0.102275  0.001950 -0.001868    52.441
   0.63085  0.37817  0.09865  1.31031  0.096773  0.001947 -0.001873    49.714
   0.64639  0.36263  0.09885  1.31047  0.091374  0.001943 -0.001878    47.025
   0.66187  0.34716  0.09884  1.31064  0.086069  0.001940 -0.001883    44.372
   0.67728  0.33174  0.09863  1.31082  0.080863  0.001936 -0.001889    41.764
   0.69264  0.31639  0.09821  1.31101  0.075755  0.001933 -0.001894    39.200
   0.70795  0.30109  0.09757  1.31122  0.070753  0.001929 -0.001901    36.687
   0.72321  0.28586  0.09672  1.31146  0.065861  0.001924 -0.001908    34.230
   0.73841  0.27069  0.09564  1.31172  0.061085  0.001919 -0.001917    31.832
   0.75355  0.25561  0.09433  1.31202  0.056431  0.001913 -0.001926    29.498
   0.76863  0.24061  0.09280  1.31237  0.051898  0.001906 -0.001938    27.228
   0.78363  0.22571  0.09103  1.31279  0.047504  0.001898 -0.001952    25.033
   0.79855  0.21092  0.08902  1.31328  0.043247  0.001888 -0.001968    22.910
   0.81339  0.19626  0.08678  1.31388  0.039135  0.001876 -0.001989    20.866
   0.82811  0.18175  0.08429  1.31463  0.035179  0.001861 -0.002014    18.904
   0.84271  0.16741  0.08155  1.31556  0.031383  0.001843 -0.002045    17.027
   0.85717  0.15327  0.07856  1.31677  0.027763  0.001821 -0.002084    15.243
   0.87144  0.13937  0.07533  1.31834  0.024329  0.001795 -0.002135    13.556
   0.88548  0.12576  0.07185  1.32042  0.021095  0.001762 -0.002201    11.973
   0.89921  0.11254  0.06815  1.32323  0.018084  0.001722 -0.002290    10.503
   0.91255  0.09978  0.06426  1.32706  0.015317  0.001673 -0.002410     9.156
   0.92536  0.08762  0.06020  1.33227  0.012819  0.001614 -0.002578     7.943
   0.93750  0.07622  0.05606  1.33935  0.010616  0.001544 -0.002818     6.875
   0.94879  0.06572  0.05190  1.34885  0.008727  0.001464 -0.003156     5.960
   0.95911  0.05625  0.04782  1.36127  0.007150  0.001375 -0.003450     5.201
   0.96837  0.04786  0.04389  1.37692  0.005870  0.001279 -0.003243     4.591
   0.97657  0.04055  0.04017  1.39550  0.004853  0.001180 -0.001898     4.113
   0.98379  0.03423  0.03668  1.41626  0.004052  0.001082  0.000845     3.744
   0.99012  0.02879  0.03343  1.43868  0.003419  0.000987  0.004901     3.465
   0.99570  0.02411  0.03040  1.46184  0.002917  0.000897  0.010100     3.253
   1.00063  0.02008  0.02756  1.48484  0.002512  0.000813  0.016305     3.091
   1.00502  0.01660  0.02489  1.50696  0.002177  0.000736  0.023688     2.959
   1.00896  0.01357  0.02236  1.52735  0.001902  0.000666  0.031908     2.856
   1.01253  0.01095  0.01995  1.54571  0.001664  0.000602  0.041785     2.764
   1.01577  0.00867  0.01764  1.56086  0.001462  0.000544  0.052829     2.688
   1.01874  0.00671  0.01541  1.57206  0.001286  0.000491  0.065722     2.619
   1.02149  0.00502  0.01324  1.57774  0.001133  0.000443  0.080137     2.559
   1.02404  0.00360  0.01113  1.57630  0.000998  0.000399  0.096924     2.500
   1.02642  0.00242  0.00906  1.56475  0.000883  0.000361  0.114844     2.448
   1.02866  0.00148  0.00703  1.54034  0.000785  0.000327  0.133757     2.399
   1.03077  0.00077  0.00504  1.49966  0.000704  0.000299  0.150919     2.358
   1.03277  0.00029  0.00309  1.44073  0.000639  0.000275  0.165662     2.322
   1.03468  0.00004  0.00120  1.36205  0.000590  0.000257  0.173919     2.296
   1.03651  0.00001 -0.00064  1.26529  0.000551  0.000243  0.176474     2.273
   1.03838  0.00020 -0.00249  1.14391  0.000522  0.000232  0.172304     2.248
   1.04030  0.00065 -0.00436  0.99784  0.000509  0.000228  0.155877     2.236
   1.04230  0.00137 -0.00623  0.83339  0.000504  0.000227  0.133675     2.217
   1.04439  0.00239 -0.00805  0.65830  0.000520  0.000235  0.102746     2.213
   1.04657  0.00369 -0.00980  0.48742  0.000549  0.000248  0.072339     2.209
   1.04888  0.00527 -0.01148  0.32900  0.000587  0.000265  0.045146     2.221
   1.05132  0.00712 -0.01307  0.18430  0.000636  0.000288  0.023589     2.209
   1.05393  0.00925 -0.01459  0.06075  0.000736  0.000330  0.006605     2.230
   1.05675  0.01167 -0.01603 -0.04874  0.000736  0.000330  0.005298     2.230
   1.05979  0.01438 -0.01741 -0.14616  0.000853  0.000378  0.013399     2.255
   1.06312  0.01744 -0.01873 -0.22840  0.000935  0.000417  0.019281     2.244
   1.06679  0.02087 -0.02000 -0.30226  0.001026  0.000453  0.022841     2.264
   1.07086  0.02476 -0.02123 -0.36712  0.001129  0.000497  0.025012     2.273
   1.07542  0.02916 -0.02242 -0.42535  0.001239  0.000543  0.026173     2.282
   1.08058  0.03419 -0.02357 -0.47742  0.001365  0.000595  0.026336     2.296
   1.08647  0.03998 -0.02467 -0.52467  0.001498  0.000650  0.026163     2.304
   1.09325  0.04667 -0.02572 -0.56756  0.001651  0.000713  0.025369     2.317
   1.10108  0.05445 -0.02670 -0.60653  0.001818  0.000781  0.024386     2.327
   1.11013  0.06345 -0.02758 -0.64151  0.002007  0.000858  0.023061     2.340
   1.12048  0.07377 -0.02833 -0.67278  0.002210  0.000940  0.021749     2.350
   1.13215  0.08543 -0.02891 -0.70035  0.002430  0.001029  0.020366     2.362
   1.14504  0.09832 -0.02929 -0.72413  0.002663  0.001122  0.019002     2.373
   1.15896  0.11223 -0.02947 -0.74442  0.002902  0.001218  0.017750     2.383
   1.17368  0.12696 -0.02945 -0.76155  0.003145  0.001314  0.016590     2.393
   1.18901  0.14228 -0.02924 -0.77600  0.003386  0.001410  0.015565     2.402
   1.20480  0.15806 -0.02887 -0.78836  0.003621  0.001504  0.014688     2.408
   1.22092  0.17418 -0.02837 -0.79887  0.003856  0.001596  0.013873     2.416
   1.23731  0.19056 -0.02776 -0.80805  0.004078  0.001685  0.013202     2.421
   1.25391  0.20714 -0.02707 -0.81609  0.004297  0.001771  0.012595     2.426
   1.27067  0.22389 -0.02630 -0.82329  0.004505  0.001855  0.012082     2.429
   1.28758  0.24078 -0.02549 -0.82975  0.004707  0.001936  0.011615     2.432
   1.30460  0.25777 -0.02465 -0.83578  0.004895  0.002013  0.011248     2.432
   1.32169  0.27484 -0.02379 -0.84137  0.005076  0.002087  0.010915     2.432
   1.33881  0.29194 -0.02292 -0.84680  0.005238  0.002156  0.010678     2.429
   1.35590  0.30901 -0.02207 -0.85197  0.005394  0.002222  0.010456     2.427
   1.37294  0.32603 -0.02124 -0.85711  0.005532  0.002283  0.010306     2.422
   1.38994  0.34301 -0.02043 -0.86230  0.005652  0.002340  0.010220     2.416
   1.40689  0.35994 -0.01967 -0.86760  0.005757  0.002391  0.010177     2.407
   1.42382  0.37686 -0.01894 -0.87321  0.005839  0.002437  0.010215     2.396
   1.44075  0.39378 -0.01827 -0.87926  0.005896  0.002476  0.010331     2.382
   1.45775  0.41076 -0.01762 -0.88598  0.005925  0.002507  0.010543     2.364
   1.47481  0.42781 -0.01697 -0.89238  0.005991  0.002541  0.010569     2.358
   1.49192  0.44491 -0.01629 -0.89851  0.006073  0.002577  0.010513     2.356
   1.50907  0.46204 -0.01560 -0.90433  0.006164  0.002615  0.010412     2.357
   1.52625  0.47921 -0.01490 -0.90986  0.006260  0.002653  0.010291     2.360
   1.54344  0.49639 -0.01420 -0.91522  0.006352  0.002690  0.010184     2.361
   1.56064  0.51357 -0.01350 -0.92033  0.006448  0.002728  0.010065     2.364
   1.57783  0.53074 -0.01280 -0.92535  0.006534  0.002764  0.009981     2.364
   1.59499  0.54790 -0.01211 -0.93028  0.006616  0.002798  0.009912     2.364
   1.61214  0.56503 -0.01143 -0.93517  0.006690  0.002831  0.009867     2.363
   1.62928  0.58215 -0.01076 -0.94002  0.006760  0.002863  0.009833     2.361
   1.64639  0.59926 -0.01011 -0.94493  0.006819  0.002892  0.009831     2.358
   1.66350  0.61635 -0.00947 -0.94987  0.006874  0.002920  0.009840     2.354
   1.68058  0.63342 -0.00885 -0.95494  0.006917  0.002945  0.009883     2.348
   1.69766  0.65049 -0.00825 -0.96009  0.006955  0.002968  0.009935     2.343
   1.71473  0.66755 -0.00768 -0.96540  0.006983  0.002989  0.010015     2.336
   1.73178  0.68459 -0.00712 -0.97088  0.007003  0.003007  0.010111     2.329
   1.74883  0.70164 -0.00659 -0.97654  0.007016  0.003023  0.010228     2.321
   1.76588  0.71867 -0.00608 -0.98246  0.007018  0.003035  0.010375     2.312
   1.78292  0.73570 -0.00560 -0.98861  0.007013  0.003045  0.010537     2.303
   1.79995  0.75273 -0.00514 -0.99508  0.006997  0.003052  0.010731     2.293
   1.81698  0.76976 -0.00471 -1.00182  0.006976  0.003056  0.010940     2.283
   1.83401  0.78678 -0.00431 -1.00900  0.006940  0.003056  0.011194     2.271
   1.85104  0.80381 -0.00393 -1.01654  0.006898  0.003053  0.011470     2.260
   1.86807  0.82084 -0.00357 -1.02461  0.006841  0.003045  0.011795     2.247
   1.88510  0.83786 -0.00324 -1.03321  0.006775  0.003034  0.012159     2.233
   1.90213  0.85489 -0.00294 -1.04250  0.006693  0.003017  0.012588     2.218
   1.91914  0.87190 -0.00266 -1.05251  0.006597  0.002996  0.013073     2.202
   1.93613  0.88889 -0.00241 -1.06338  0.006487  0.002969  0.013635     2.185
   1.95305  0.90581 -0.00218 -1.07541  0.006353  0.002933  0.014321     2.166
   1.96983  0.92258 -0.00197 -1.08867  0.006199  0.002891  0.015130     2.145
   1.98627  0.93902 -0.00179 -1.10349  0.006017  0.002838  0.016128     2.120
   2.00209  0.95483 -0.00163 -1.12006  0.005802  0.002773  0.017373     2.092
   2.01678  0.96953 -0.00150 -1.13837  0.005558  0.002697  0.018909     2.061
   2.02984  0.98258 -0.00139 -1.15876  0.005270  0.002605  0.020929     2.023
   2.04093  0.99368 -0.00131 -1.18081  0.004958  0.002502  0.023417     1.981
   2.04725  1.00000 -0.00126 -1.20484  0.004520  0.002365  0.027629     1.911
   2.04725  1.00010 -0.00001  1.20484  0.333110  0.025490  0.000000    13.068
   2.05356  1.00636 -0.00079  1.20351  0.333495  0.025915  0.000000    12.869
   2.06096  1.01373 -0.00149  1.20183  0.333731  0.026455  0.000000    12.615
   2.06964  1.02237 -0.00220  1.19985  0.333919  0.027092  0.000000    12.325
   2.07981  1.03253 -0.00289  1.19753  0.334027  0.027847  0.000000    11.995
   2.09174  1.04444 -0.00356  1.19479  0.334021  0.028740  0.000000    11.622
   2.10574  1.05842 -0.00417  1.19157  0.333849  0.029799  0.000000    11.203
   2.12215  1.07482 -0.00471  1.18778  0.333444  0.031055  0.000000    10.737
   2.14139  1.09406 -0.00511  1.18332  0.332716  0.032550  0.000000    10.222
   2.16396  1.11662 -0.00532  1.17805  0.331546  0.034331  0.000000     9.657
   2.19042  1.14309 -0.00524  1.17183  0.329776  0.036458  0.000000     9.045
   2.22145  1.17412 -0.00478  1.16446  0.327201  0.039008  0.000000     8.388
   2.25784  1.21049 -0.00380  1.15572  0.323553  0.042074  0.000000     7.690
   2.30052  1.25314 -0.00212  1.14529  0.318488  0.045782  0.000000     6.957
   2.35057  1.30312  0.00047  1.13280  0.311564  0.050298  0.000000     6.194
   2.40926  1.36169  0.00424  1.11767  0.302227  0.055860  0.000000     5.410
   2.47809  1.43031  0.00952  1.09901  0.289813  0.062861  0.000000     4.610
   2.55880  1.51070  0.01672  1.07489  0.273654  0.072135  0.000000     3.794
   2.65345  1.60487  0.02631  1.04582  0.252626  0.083661  0.000000     3.020
   2.76445  1.71515  0.03889  1.02482  0.224331  0.092083  0.000000     2.436
   2.89461  1.84429  0.05517  1.01712  0.187619  0.095048  0.000000     1.974
   3.04725  1.99551  0.07597  1.09920  0.102561  0.071291  0.000000     1.439
