#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00126  1.00435  0.051791  0.010879 -0.000100     4.761
   0.00630  0.99392  0.00292  1.00807  0.051128  0.010610 -0.000105     4.819
   0.01727  0.98333  0.00577  1.01478  0.049923  0.010137 -0.000113     4.925
   0.03004  0.97098  0.00904  1.02306  0.048574  0.009578 -0.000123     5.071
   0.04430  0.95718  0.01262  1.03294  0.047146  0.008941 -0.000135     5.273
   0.05958  0.94237  0.01638  1.04436  0.045710  0.008243 -0.000148     5.546
   0.07546  0.92696  0.02021  1.05723  0.044312  0.007499 -0.000162     5.909
   0.09164  0.91123  0.02403  1.07158  0.042976  0.006719 -0.000177     6.396
   0.10799  0.89533  0.02780  1.08762  0.041698  0.005903 -0.000198     7.064
   0.12441  0.87933  0.03149  1.10576  0.040453  0.005043 -0.000228     8.022
   0.14087  0.86327  0.03511  1.12637  0.039209  0.004136 -0.000274     9.480
   0.15734  0.84718  0.03864  1.15062  0.037886  0.003155 -0.000291    12.010
   0.17383  0.83106  0.04208  1.17440  0.036508  0.002280 -0.000493    16.010
   0.19032  0.81492  0.04544  1.17479  0.035524  0.002270 -0.000497    15.652
   0.20680  0.79875  0.04870  1.17515  0.034384  0.002261 -0.000500    15.210
   0.22329  0.78258  0.05188  1.17549  0.033138  0.002252 -0.000503    14.712
   0.23978  0.76638  0.05496  1.17583  0.031820  0.002245 -0.000506    14.176
   0.25626  0.75017  0.05796  1.17618  0.030452  0.002237 -0.000509    13.612
   0.27274  0.73395  0.06086  1.17655  0.029049  0.002230 -0.000513    13.029
   0.28921  0.71772  0.06368  1.17695  0.027624  0.002222 -0.000517    12.435
   0.30568  0.70148  0.06640  1.17738  0.026186  0.002213 -0.000522    11.833
   0.32214  0.68523  0.06902  1.17788  0.024744  0.002204 -0.000527    11.229
   0.33859  0.66898  0.07155  1.17844  0.023309  0.002193 -0.000533    10.628
   0.35503  0.65272  0.07398  1.17909  0.021884  0.002182 -0.000540    10.032
   0.37146  0.63645  0.07632  1.17984  0.020479  0.002168 -0.000548     9.445
   0.38788  0.62019  0.07855  1.18073  0.019099  0.002153 -0.000558     8.869
   0.40429  0.60392  0.08069  1.18178  0.017752  0.002137 -0.000570     8.309
   0.42068  0.58766  0.08272  1.18303  0.016442  0.002117 -0.000585     7.765
   0.43705  0.57140  0.08465  1.18453  0.015176  0.002096 -0.000602     7.242
   0.45341  0.55514  0.08647  1.18632  0.013959  0.002071 -0.000624     6.741
   0.46975  0.53889  0.08818  1.18847  0.012796  0.002043 -0.000651     6.264
   0.48606  0.52265  0.08978  1.19106  0.011692  0.002011 -0.000682     5.814
   0.50236  0.50642  0.09127  1.19417  0.010654  0.001976 -0.000705     5.392
   0.51863  0.49021  0.09264  1.19788  0.009682  0.001936 -0.000706     5.001
   0.53487  0.47402  0.09390  1.20229  0.008782  0.001892 -0.000655     4.642
   0.55108  0.45785  0.09503  1.20744  0.007949  0.001844 -0.000513     4.312
   0.56725  0.44172  0.09603  1.21324  0.007186  0.001792 -0.000249     4.010
   0.58335  0.42564  0.09690  1.21981  0.006490  0.001736  0.000163     3.738
   0.59935  0.40965  0.09765  1.22724  0.005856  0.001676  0.000738     3.494
   0.61519  0.39382  0.09824  1.23551  0.005272  0.001611  0.001507     3.273
   0.63085  0.37817  0.09865  1.24408  0.004788  0.001544  0.002348     3.101
   0.64639  0.36263  0.09885  1.25248  0.004392  0.001479  0.003204     2.969
   0.66187  0.34716  0.09884  1.26035  0.004062  0.001417  0.004051     2.867
   0.67728  0.33174  0.09863  1.26743  0.003786  0.001358  0.004869     2.788
   0.69264  0.31639  0.09821  1.27359  0.003548  0.001302  0.005661     2.725
   0.70795  0.30109  0.09757  1.27874  0.003343  0.001250  0.006417     2.674
   0.72321  0.28586  0.09672  1.28285  0.003160  0.001200  0.007148     2.634
   0.73841  0.27069  0.09564  1.28592  0.002996  0.001153  0.007859     2.600
   0.75355  0.25561  0.09433  1.28791  0.002847  0.001107  0.008552     2.572
   0.76863  0.24061  0.09280  1.28886  0.002708  0.001063  0.009243     2.548
   0.78363  0.22571  0.09103  1.28867  0.002579  0.001020  0.009917     2.528
   0.79855  0.21092  0.08902  1.28739  0.002457  0.000979  0.010601     2.510
   0.81339  0.19626  0.08678  1.28495  0.002340  0.000938  0.011299     2.494
   0.82811  0.18175  0.08429  1.28124  0.002228  0.000898  0.011992     2.482
   0.84271  0.16741  0.08155  1.27633  0.002118  0.000858  0.012731     2.469
   0.85717  0.15327  0.07856  1.26997  0.002011  0.000818  0.013485     2.459
   0.87144  0.13937  0.07533  1.26214  0.001906  0.000778  0.014280     2.450
   0.88548  0.12576  0.07185  1.25268  0.001802  0.000738  0.015123     2.441
   0.89921  0.11254  0.06815  1.24144  0.001699  0.000698  0.016015     2.434
   0.91255  0.09978  0.06426  1.22834  0.001596  0.000658  0.017001     2.426
   0.92536  0.08762  0.06020  1.21313  0.001495  0.000618  0.018039     2.420
   0.93750  0.07622  0.05606  1.19587  0.001394  0.000578  0.019229     2.412
   0.94879  0.06572  0.05190  1.17631  0.001297  0.000539  0.020438     2.407
   0.95911  0.05625  0.04782  1.15483  0.001202  0.000501  0.021787     2.400
   0.96837  0.04786  0.04389  1.13134  0.001111  0.000465  0.023306     2.391
   0.97657  0.04055  0.04017  1.10564  0.001027  0.000431  0.024784     2.385
   0.98379  0.03423  0.03668  1.07818  0.000950  0.000399  0.026320     2.378
   0.99012  0.02879  0.03343  1.04874  0.000875  0.000370  0.028062     2.368
   0.99570  0.02411  0.03040  1.01662  0.000809  0.000343  0.029665     2.360
   1.00063  0.02008  0.02756  0.98185  0.000745  0.000317  0.031410     2.349
   1.00502  0.01660  0.02489  0.94352  0.000688  0.000294  0.032985     2.341
   1.00896  0.01357  0.02236  0.90125  0.000633  0.000272  0.034601     2.330
   1.01253  0.01095  0.01995  0.85381  0.000582  0.000251  0.035982     2.319
   1.01577  0.00867  0.01764  0.80009  0.000534  0.000232  0.037209     2.306
   1.01874  0.00671  0.01541  0.73869  0.000492  0.000214  0.037651     2.296
   1.02149  0.00502  0.01324  0.66901  0.000452  0.000198  0.037492     2.286
   1.02404  0.00360  0.01113  0.58818  0.000413  0.000182  0.036596     2.269
   1.02642  0.00242  0.00906  0.49474  0.000382  0.000169  0.033435     2.264
   1.02866  0.00148  0.00703  0.38777  0.000352  0.000157  0.028943     2.245
   1.03077  0.00077  0.00504  0.26686  0.000329  0.000147  0.021232     2.248
   1.03277  0.00029  0.00309  0.13120  0.000305  0.000137  0.011478     2.230
   1.03468  0.00004  0.00120 -0.01344  0.000305  0.000137  0.001177     2.230
   1.03651  0.00001 -0.00064 -0.16268  0.000288  0.000129  0.015109     2.227
   1.03838  0.00020 -0.00249 -0.32263  0.000286  0.000128  0.030108     2.230
   1.04030  0.00065 -0.00436 -0.48712  0.000287  0.000129  0.045159     2.231
   1.04230  0.00137 -0.00623 -0.64011  0.000304  0.000135  0.054804     2.256
   1.04439  0.00239 -0.00805 -0.77704  0.000322  0.000143  0.062719     2.257
   1.04657  0.00369 -0.00980 -0.88953  0.000357  0.000156  0.062593     2.295
   1.04888  0.00527 -0.01148 -0.97671  0.000397  0.000172  0.060784     2.313
   1.05132  0.00712 -0.01307 -1.04213  0.000447  0.000191  0.055784     2.345
   1.05393  0.00925 -0.01459 -1.08992  0.000504  0.000212  0.050462     2.372
   1.05675  0.01167 -0.01603 -1.12409  0.000568  0.000237  0.044775     2.402
   1.05979  0.01438 -0.01741 -1.14776  0.000640  0.000263  0.039367     2.432
   1.06312  0.01744 -0.01873 -1.16374  0.000719  0.000292  0.034516     2.461
   1.06679  0.02087 -0.02000 -1.17364  0.000806  0.000324  0.030035     2.491
   1.07086  0.02476 -0.02123 -1.17920  0.000901  0.000358  0.026227     2.519
   1.07542  0.02916 -0.02242 -1.18108  0.001007  0.000395  0.022734     2.549
   1.08058  0.03419 -0.02357 -1.18010  0.001124  0.000436  0.019700     2.579
   1.08647  0.03998 -0.02467 -1.17677  0.001254  0.000481  0.017026     2.608
   1.09325  0.04667 -0.02572 -1.17145  0.001398  0.000530  0.014674     2.638
   1.10108  0.05445 -0.02670 -1.16418  0.001564  0.000585  0.012519     2.672
   1.11013  0.06345 -0.02758 -1.15551  0.001746  0.000646  0.010709     2.704
   1.12048  0.07377 -0.02833 -1.14562  0.001949  0.000712  0.009113     2.738
   1.13215  0.08543 -0.02891 -1.13488  0.002171  0.000783  0.007745     2.773
   1.14504  0.09832 -0.02929 -1.12375  0.002408  0.000858  0.006610     2.807
   1.15896  0.11223 -0.02947 -1.11259  0.002657  0.000935  0.005662     2.842
   1.17368  0.12696 -0.02945 -1.10165  0.002915  0.001013  0.004867     2.876
   1.18901  0.14228 -0.02924 -1.09121  0.003173  0.001091  0.004234     2.908
   1.20480  0.15806 -0.02887 -1.08134  0.003432  0.001168  0.003710     2.938
   1.22092  0.17418 -0.02837 -1.07204  0.003691  0.001244  0.003274     2.967
   1.23731  0.19056 -0.02776 -1.06339  0.003942  0.001318  0.002930     2.990
   1.25391  0.20714 -0.02707 -1.05533  0.004187  0.001390  0.002646     3.012
   1.27067  0.22389 -0.02630 -1.04783  0.004425  0.001460  0.002415     3.030
   1.28758  0.24078 -0.02549 -1.04089  0.004650  0.001528  0.002236     3.042
   1.30460  0.25777 -0.02465 -1.03447  0.004863  0.001594  0.002097     3.050
   1.32169  0.27484 -0.02379 -1.02855  0.005062  0.001658  0.001993     3.053
   1.33881  0.29194 -0.02292 -1.02316  0.005240  0.001719  0.001929     3.049
   1.35590  0.30901 -0.02207 -1.01825  0.005401  0.001777  0.001891     3.040
   1.37294  0.32603 -0.02124 -1.01384  0.005539  0.001832  0.001885     3.024
   1.38994  0.34301 -0.02043 -1.00992  0.005653  0.001883  0.001908     3.001
   1.40689  0.35994 -0.01967 -1.00652  0.005740  0.001932  0.001962     2.971
   1.42382  0.37686 -0.01894 -1.00366  0.005800  0.001976  0.002047     2.935
   1.44075  0.39378 -0.01827 -1.00140  0.005826  0.002016  0.002172     2.890
   1.45775  0.41076 -0.01762 -0.99980  0.005820  0.002051  0.002336     2.838
   1.47481  0.42781 -0.01697 -0.99824  0.005852  0.002087  0.002427     2.804
   1.49192  0.44491 -0.01629 -0.99673  0.005906  0.002123  0.002474     2.782
   1.50907  0.46204 -0.01560 -0.99522  0.005978  0.002160  0.002485     2.768
   1.52625  0.47921 -0.01490 -0.99374  0.006061  0.002197  0.002477     2.758
   1.54344  0.49639 -0.01420 -0.99224  0.006153  0.002234  0.002452     2.754
   1.56064  0.51357 -0.01350 -0.99075  0.006251  0.002272  0.002416     2.752
   1.57783  0.53074 -0.01280 -0.98930  0.006350  0.002309  0.002379     2.750
   1.59499  0.54790 -0.01211 -0.98788  0.006449  0.002345  0.002340     2.750
   1.61214  0.56503 -0.01143 -0.98651  0.006547  0.002381  0.002303     2.749
   1.62928  0.58215 -0.01076 -0.98519  0.006643  0.002417  0.002268     2.749
   1.64639  0.59926 -0.01011 -0.98393  0.006735  0.002451  0.002239     2.747
   1.66350  0.61635 -0.00947 -0.98274  0.006823  0.002485  0.002213     2.745
   1.68058  0.63342 -0.00885 -0.98165  0.006904  0.002518  0.002194     2.742
