#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00126  1.17833  0.187652  0.003090 -0.000305    60.727
   0.00630  0.99392  0.00292  1.17836  0.186224  0.003087 -0.001060    60.334
   0.01727  0.98333  0.00577  1.17842  0.183670  0.003081 -0.001062    59.610
   0.03004  0.97098  0.00904  1.17848  0.180591  0.003076 -0.001064    58.703
   0.04430  0.95718  0.01262  1.17855  0.177077  0.003072 -0.001066    57.643
   0.05958  0.94237  0.01638  1.17861  0.173247  0.003068 -0.001067    56.464
   0.07546  0.92696  0.02021  1.17867  0.169211  0.003065 -0.001069    55.201
   0.09164  0.91123  0.02403  1.17873  0.165051  0.003063 -0.001070    53.881
   0.10799  0.89533  0.02780  1.17878  0.160816  0.003062 -0.001071    52.521
   0.12441  0.87933  0.03149  1.17883  0.156531  0.003061 -0.001071    51.132
   0.14087  0.86327  0.03511  1.17888  0.152216  0.003061 -0.001072    49.722
   0.15734  0.84718  0.03864  1.17892  0.147879  0.003062 -0.001072    48.296
   0.17383  0.83106  0.04208  1.17896  0.143530  0.003063 -0.001072    46.857
   0.19032  0.81492  0.04544  1.17900  0.139171  0.003065 -0.001072    45.409
   0.20680  0.79875  0.04870  1.17903  0.134811  0.003067 -0.001072    43.955
   0.22329  0.78258  0.05188  1.17906  0.130448  0.003070 -0.001071    42.497
   0.23978  0.76638  0.05496  1.17909  0.126088  0.003073 -0.001071    41.036
   0.25626  0.75017  0.05796  1.17912  0.121736  0.003076 -0.001070    39.576
   0.27274  0.73395  0.06086  1.17914  0.117394  0.003080 -0.001070    38.119
   0.28921  0.71772  0.06368  1.17917  0.113064  0.003084 -0.001069    36.666
   0.30568  0.70148  0.06640  1.17919  0.108750  0.003088 -0.001069    35.219
   0.32214  0.68523  0.06902  1.17921  0.104452  0.003092 -0.001068    33.779
   0.33859  0.66898  0.07155  1.17923  0.100177  0.003097 -0.001067    32.350
   0.35503  0.65272  0.07398  1.17925  0.095926  0.003101 -0.001067    30.932
   0.37146  0.63645  0.07632  1.17927  0.091701  0.003106 -0.001066    29.526
   0.38788  0.62019  0.07855  1.17929  0.087504  0.003110 -0.001066    28.134
   0.40429  0.60392  0.08069  1.17932  0.083342  0.003115 -0.001066    26.758
   0.42068  0.58766  0.08272  1.17935  0.079212  0.003119 -0.001066    25.399
   0.43705  0.57140  0.08465  1.17938  0.075124  0.003122 -0.001067    24.059
   0.45341  0.55514  0.08647  1.17943  0.071076  0.003126 -0.001068    22.739
   0.46975  0.53889  0.08818  1.17948  0.067074  0.003128 -0.001069    21.440
   0.48606  0.52265  0.08978  1.17955  0.063119  0.003130 -0.001071    20.163
   0.50236  0.50642  0.09127  1.17965  0.059218  0.003131 -0.001074    18.911
   0.51863  0.49021  0.09264  1.17977  0.055374  0.003131 -0.001077    17.684
   0.53487  0.47402  0.09390  1.17992  0.051590  0.003130 -0.001082    16.484
   0.55108  0.45785  0.09503  1.18013  0.047871  0.003126 -0.001088    15.312
   0.56725  0.44172  0.09603  1.18039  0.044224  0.003121 -0.001096    14.171
   0.58335  0.42564  0.09690  1.18074  0.040657  0.003113 -0.001106    13.061
   0.59935  0.40965  0.09765  1.18120  0.037182  0.003102 -0.001118    11.988
   0.61519  0.39382  0.09824  1.18179  0.033808  0.003087 -0.001135    10.951
   0.63085  0.37817  0.09865  1.18259  0.030609  0.003068 -0.001156     9.978
   0.64639  0.36263  0.09885  1.18365  0.027584  0.003042 -0.001184     9.066
   0.66187  0.34716  0.09884  1.18507  0.024736  0.003011 -0.001220     8.216
   0.67728  0.33174  0.09863  1.18694  0.022071  0.002971 -0.001268     7.428
   0.69264  0.31639  0.09821  1.18938  0.019592  0.002923 -0.001333     6.702
   0.70795  0.30109  0.09757  1.19257  0.017309  0.002866 -0.001418     6.040
   0.72321  0.28586  0.09672  1.19670  0.015229  0.002798 -0.001497     5.443
   0.73841  0.27069  0.09564  1.20198  0.013353  0.002719 -0.001492     4.912
   0.75355  0.25561  0.09433  1.20860  0.011688  0.002628 -0.001252     4.448
   0.76863  0.24061  0.09280  1.21653  0.010229  0.002528 -0.000620     4.047
   0.78363  0.22571  0.09103  1.22580  0.008974  0.002418  0.000465     3.712
   0.79855  0.21092  0.08902  1.23647  0.007907  0.002298  0.001967     3.440
   0.81339  0.19626  0.08678  1.24816  0.007013  0.002172  0.003780     3.228
   0.82811  0.18175  0.08429  1.26029  0.006268  0.002045  0.005805     3.065
   0.84271  0.16741  0.08155  1.27223  0.005644  0.001921  0.007958     2.938
   0.85717  0.15327  0.07856  1.28343  0.005120  0.001801  0.010149     2.843
   0.87144  0.13937  0.07533  1.29357  0.004673  0.001687  0.012360     2.770
   0.88548  0.12576  0.07185  1.30245  0.004281  0.001578  0.014595     2.713
   0.89921  0.11254  0.06815  1.30990  0.003936  0.001474  0.016827     2.671
   0.91255  0.09978  0.06426  1.31600  0.003620  0.001374  0.019171     2.635
   0.92536  0.08762  0.06020  1.32054  0.003333  0.001278  0.021550     2.609
   0.93750  0.07622  0.05606  1.32365  0.003066  0.001185  0.024082     2.587
   0.94879  0.06572  0.05190  1.32531  0.002817  0.001097  0.026792     2.568
   0.95911  0.05625  0.04782  1.32550  0.002587  0.001013  0.029699     2.552
   0.96837  0.04786  0.04389  1.32426  0.002372  0.000935  0.032898     2.537
   0.97657  0.04055  0.04017  1.32149  0.002178  0.000863  0.036267     2.524
   0.98379  0.03423  0.03668  1.31733  0.001997  0.000795  0.040018     2.511
   0.99012  0.02879  0.03343  1.31154  0.001831  0.000734  0.044100     2.497
