#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00126  1.03736  0.055982  0.002410 -0.000237    23.230
   0.00630  0.99392  0.00292  1.03735  0.055114  0.002412 -0.000406    22.852
   0.01727  0.98333  0.00577  1.03731  0.053524  0.002416 -0.000405    22.155
   0.03004  0.97098  0.00904  1.03726  0.051636  0.002421 -0.000405    21.327
   0.04430  0.95718  0.01262  1.03720  0.049520  0.002427 -0.000405    20.403
   0.05958  0.94237  0.01638  1.03713  0.047258  0.002433 -0.000405    19.422
   0.07546  0.92696  0.02021  1.03707  0.044924  0.002439 -0.000404    18.416
   0.09164  0.91123  0.02403  1.03701  0.042572  0.002445 -0.000405    17.411
   0.10799  0.89533  0.02780  1.03697  0.040235  0.002450 -0.000405    16.421
   0.12441  0.87933  0.03149  1.03694  0.037928  0.002454 -0.000406    15.454
   0.14087  0.86327  0.03511  1.03694  0.035668  0.002457 -0.000407    14.514
   0.15734  0.84718  0.03864  1.03698  0.033459  0.002459 -0.000408    13.605
   0.17383  0.83106  0.04208  1.03705  0.031307  0.002460 -0.000411    12.728
   0.19032  0.81492  0.04544  1.03718  0.029218  0.002458 -0.000413    11.885
   0.20680  0.79875  0.04870  1.03738  0.027197  0.002455 -0.000417    11.077
   0.22329  0.78258  0.05188  1.03767  0.025244  0.002450 -0.000422    10.304
   0.23978  0.76638  0.05496  1.03806  0.023367  0.002442 -0.000427     9.568
   0.25626  0.75017  0.05796  1.03858  0.021567  0.002432 -0.000435     8.869
   0.27274  0.73395  0.06086  1.03926  0.019851  0.002418 -0.000444     8.209
   0.28921  0.71772  0.06368  1.04013  0.018220  0.002402 -0.000456     7.586
   0.30568  0.70148  0.06640  1.04124  0.016680  0.002381 -0.000471     7.004
   0.32214  0.68523  0.06902  1.04264  0.015232  0.002357 -0.000489     6.461
   0.33859  0.66898  0.07155  1.04438  0.013883  0.002329 -0.000512     5.960
   0.35503  0.65272  0.07398  1.04653  0.012631  0.002296 -0.000532     5.501
   0.37146  0.63645  0.07632  1.04915  0.011483  0.002259 -0.000535     5.084
   0.38788  0.62019  0.07855  1.05229  0.010437  0.002217 -0.000504     4.709
   0.40429  0.60392  0.08069  1.05598  0.009496  0.002170 -0.000412     4.376
   0.42068  0.58766  0.08272  1.06016  0.008653  0.002119 -0.000244     4.083
   0.43705  0.57140  0.08465  1.06482  0.007909  0.002066  0.000002     3.829
   0.45341  0.55514  0.08647  1.07003  0.007256  0.002008  0.000317     3.614
   0.46975  0.53889  0.08818  1.07570  0.006689  0.001946  0.000682     3.436
   0.48606  0.52265  0.08978  1.08171  0.006196  0.001883  0.001079     3.291
   0.50236  0.50642  0.09127  1.08789  0.005771  0.001819  0.001492     3.172
   0.51863  0.49021  0.09264  1.09409  0.005400  0.001755  0.001912     3.076
   0.53487  0.47402  0.09390  1.10020  0.005074  0.001693  0.002331     2.997
   0.55108  0.45785  0.09503  1.10619  0.004778  0.001631  0.002762     2.929
   0.56725  0.44172  0.09603  1.11198  0.004508  0.001571  0.003206     2.870
   0.58335  0.42564  0.09690  1.11759  0.004251  0.001511  0.003690     2.814
   0.59935  0.40965  0.09765  1.12301  0.004001  0.001451  0.004250     2.757
   0.61519  0.39382  0.09824  1.12829  0.003740  0.001391  0.004974     2.689
   0.63085  0.37817  0.09865  1.13243  0.003517  0.001335  0.005665     2.634
   0.64639  0.36263  0.09885  1.13532  0.003327  0.001284  0.006304     2.592
   0.66187  0.34716  0.09884  1.13704  0.003159  0.001235  0.006911     2.558
   0.67728  0.33174  0.09863  1.13761  0.003009  0.001190  0.007490     2.529
   0.69264  0.31639  0.09821  1.13705  0.002871  0.001146  0.008052     2.505
   0.70795  0.30109  0.09757  1.13533  0.002744  0.001104  0.008599     2.485
   0.72321  0.28586  0.09672  1.13243  0.002625  0.001064  0.009138     2.467
   0.73841  0.27069  0.09564  1.12831  0.002513  0.001025  0.009663     2.451
   0.75355  0.25561  0.09433  1.12293  0.002407  0.000987  0.010183     2.438
   0.76863  0.24061  0.09280  1.11625  0.002304  0.000950  0.010713     2.425
   0.78363  0.22571  0.09103  1.10813  0.002206  0.000914  0.011236     2.414
   0.79855  0.21092  0.08902  1.09847  0.002111  0.000878  0.011749     2.405
   0.81339  0.19626  0.08678  1.08727  0.002016  0.000842  0.012293     2.395
   0.82811  0.18175  0.08429  1.07421  0.001925  0.000807  0.012824     2.387
   0.84271  0.16741  0.08155  1.05924  0.001834  0.000771  0.013387     2.378
   0.85717  0.15327  0.07856  1.04202  0.001745  0.000736  0.013935     2.372
   0.87144  0.13937  0.07533  1.02245  0.001654  0.000700  0.014525     2.364
   0.88548  0.12576  0.07185  1.00007  0.001565  0.000664  0.015121     2.357
   0.89921  0.11254  0.06815  0.97462  0.001475  0.000628  0.015728     2.351
   0.91255  0.09978  0.06426  0.94579  0.001386  0.000591  0.016344     2.345
   0.92536  0.08762  0.06020  0.91330  0.001297  0.000555  0.016977     2.338
   0.93750  0.07622  0.05606  0.87685  0.001208  0.000518  0.017626     2.331
   0.94879  0.06572  0.05190  0.83633  0.001122  0.000483  0.018199     2.324
   0.95911  0.05625  0.04782  0.79205  0.001039  0.000448  0.018758     2.317
   0.96837  0.04786  0.04389  0.74409  0.000960  0.000416  0.019181     2.310
   0.97657  0.04055  0.04017  0.69271  0.000886  0.000385  0.019517     2.301
   0.98379  0.03423  0.03668  0.63790  0.000819  0.000357  0.019574     2.294
   0.99012  0.02879  0.03343  0.58001  0.000757  0.000331  0.019382     2.288
   0.99570  0.02411  0.03040  0.51837  0.000697  0.000306  0.018979     2.277
   1.00063  0.02008  0.02756  0.45243  0.000645  0.000284  0.017971     2.273
   1.00502  0.01660  0.02489  0.38137  0.000594  0.000263  0.016688     2.258
   1.00896  0.01357  0.02236  0.30482  0.000552  0.000244  0.014311     2.262
