#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00126  1.00152  0.056233  0.013856 -0.000033     4.058
   0.00630  0.99392  0.00292  1.00442  0.055454  0.013615 -0.000035     4.073
   0.01727  0.98333  0.00577  1.00964  0.054057  0.013193 -0.000039     4.097
   0.03004  0.97098  0.00904  1.01605  0.052481  0.012692 -0.000045     4.135
   0.04430  0.95718  0.01262  1.02367  0.050805  0.012121 -0.000054     4.191
   0.05958  0.94237  0.01638  1.03244  0.049116  0.011495 -0.000067     4.273
   0.07546  0.92696  0.02021  1.04223  0.047478  0.010828 -0.000082     4.385
   0.09164  0.91123  0.02403  1.05300  0.045931  0.010133 -0.000101     4.533
   0.10799  0.89533  0.02780  1.06474  0.044492  0.009416 -0.000121     4.725
   0.12441  0.87933  0.03149  1.07748  0.043159  0.008680 -0.000141     4.972
   0.14087  0.86327  0.03511  1.09130  0.041933  0.007927 -0.000160     5.290
   0.15734  0.84718  0.03864  1.10631  0.040798  0.007157 -0.000179     5.701
   0.17383  0.83106  0.04208  1.12270  0.039740  0.006366 -0.000198     6.242
   0.19032  0.81492  0.04544  1.14082  0.038733  0.005548 -0.000222     6.982
   0.20680  0.79875  0.04870  1.16114  0.037746  0.004691 -0.000257     8.046
   0.22329  0.78258  0.05188  1.18419  0.036729  0.003790 -0.000308     9.690
   0.23978  0.76638  0.05496  1.21143  0.035592  0.002810 -0.000323    12.665
   0.25626  0.75017  0.05796  1.23198  0.034491  0.002139 -0.000552    16.125
   0.27274  0.73395  0.06086  1.23248  0.033623  0.002127 -0.000556    15.811
   0.28921  0.71772  0.06368  1.23293  0.032588  0.002116 -0.000560    15.402
   0.30568  0.70148  0.06640  1.23336  0.031437  0.002106 -0.000563    14.926
   0.32214  0.68523  0.06902  1.23378  0.030201  0.002097 -0.000567    14.400
   0.33859  0.66898  0.07155  1.23421  0.028903  0.002089 -0.000572    13.838
   0.35503  0.65272  0.07398  1.23466  0.027557  0.002080 -0.000576    13.248
   0.37146  0.63645  0.07632  1.23513  0.026176  0.002071 -0.000581    12.637
   0.38788  0.62019  0.07855  1.23565  0.024770  0.002062 -0.000587    12.013
   0.40429  0.60392  0.08069  1.23623  0.023353  0.002052 -0.000593    11.380
   0.42068  0.58766  0.08272  1.23688  0.021929  0.002041 -0.000600    10.743
   0.43705  0.57140  0.08465  1.23762  0.020510  0.002029 -0.000609    10.107
   0.45341  0.55514  0.08647  1.23850  0.019099  0.002016 -0.000619     9.476
   0.46975  0.53889  0.08818  1.23953  0.017708  0.002000 -0.000631     8.853
   0.48606  0.52265  0.08978  1.24076  0.016340  0.001983 -0.000646     8.241
   0.50236  0.50642  0.09127  1.24224  0.015005  0.001963 -0.000665     7.645
   0.51863  0.49021  0.09264  1.24404  0.013710  0.001940 -0.000688     7.067
   0.53487  0.47402  0.09390  1.24624  0.012460  0.001914 -0.000719     6.511
   0.55108  0.45785  0.09503  1.24894  0.011261  0.001884 -0.000756     5.978
   0.56725  0.44172  0.09603  1.25227  0.010121  0.001849 -0.000790     5.473
   0.58335  0.42564  0.09690  1.25637  0.009045  0.001810 -0.000792     4.997
   0.59935  0.40965  0.09765  1.26138  0.008040  0.001766 -0.000701     4.553
   0.61519  0.39382  0.09824  1.26733  0.007102  0.001717 -0.000421     4.137
   0.63085  0.37817  0.09865  1.27418  0.006296  0.001663  0.000083     3.786
   0.64639  0.36263  0.09885  1.28209  0.005619  0.001604  0.000781     3.503
   0.66187  0.34716  0.09884  1.29086  0.005055  0.001541  0.001614     3.281
   0.67728  0.33174  0.09863  1.30000  0.004591  0.001476  0.002516     3.110
   0.69264  0.31639  0.09821  1.30902  0.004208  0.001413  0.003441     2.979
   0.70795  0.30109  0.09757  1.31750  0.003889  0.001351  0.004352     2.878
   0.72321  0.28586  0.09672  1.32520  0.003621  0.001293  0.005237     2.800
   0.73841  0.27069  0.09564  1.33198  0.003390  0.001238  0.006092     2.738
   0.75355  0.25561  0.09433  1.33775  0.003189  0.001186  0.006911     2.689
   0.76863  0.24061  0.09280  1.34251  0.003009  0.001136  0.007711     2.649
   0.78363  0.22571  0.09103  1.34620  0.002848  0.001088  0.008482     2.617
   0.79855  0.21092  0.08902  1.34890  0.002698  0.001042  0.009255     2.590
   0.81339  0.19626  0.08678  1.35053  0.002560  0.000997  0.010021     2.568
   0.82811  0.18175  0.08429  1.35111  0.002429  0.000953  0.010789     2.549
   0.84271  0.16741  0.08155  1.35063  0.002304  0.000910  0.011572     2.533
   0.85717  0.15327  0.07856  1.34905  0.002184  0.000867  0.012378     2.519
   0.87144  0.13937  0.07533  1.34635  0.002066  0.000824  0.013235     2.506
   0.88548  0.12576  0.07185  1.34237  0.001953  0.000782  0.014111     2.497
   0.89921  0.11254  0.06815  1.33719  0.001840  0.000740  0.015059     2.488
   0.91255  0.09978  0.06426  1.33069  0.001728  0.000697  0.016094     2.480
   0.92536  0.08762  0.06020  1.32278  0.001618  0.000654  0.017217     2.472
   0.93750  0.07622  0.05606  1.31345  0.001509  0.000612  0.018448     2.466
   0.94879  0.06572  0.05190  1.30270  0.001404  0.000571  0.019807     2.460
   0.95911  0.05625  0.04782  1.29057  0.001302  0.000531  0.021311     2.453
   0.96837  0.04786  0.04389  1.27705  0.001205  0.000493  0.022929     2.446
   0.97657  0.04055  0.04017  1.26224  0.001113  0.000457  0.024718     2.439
   0.98379  0.03423  0.03668  1.24598  0.001028  0.000423  0.026624     2.431
   0.99012  0.02879  0.03343  1.22821  0.000949  0.000392  0.028710     2.422
   0.99570  0.02411  0.03040  1.20855  0.000874  0.000362  0.030960     2.412
   1.00063  0.02008  0.02756  1.18659  0.000806  0.000335  0.033350     2.402
   1.00502  0.01660  0.02489  1.16187  0.000742  0.000310  0.035855     2.391
   1.00896  0.01357  0.02236  1.13386  0.000682  0.000287  0.038498     2.379
   1.01253  0.01095  0.01995  1.10162  0.000625  0.000264  0.041461     2.364
   1.01577  0.00867  0.01764  1.06379  0.000574  0.000244  0.044075     2.353
   1.01874  0.00671  0.01541  1.01977  0.000524  0.000224  0.047038     2.335
   1.02149  0.00502  0.01324  0.96733  0.000480  0.000207  0.049301     2.323
   1.02404  0.00360  0.01113  0.90542  0.000438  0.000190  0.051348     2.306
   1.02642  0.00242  0.00906  0.83113  0.000401  0.000175  0.052359     2.289
   1.02866  0.00148  0.00703  0.74304  0.000369  0.000162  0.051454     2.277
   1.03077  0.00077  0.00504  0.63938  0.000340  0.000151  0.048866     2.256
   1.03277  0.00029  0.00309  0.52067  0.000320  0.000142  0.042400     2.253
   1.03468  0.00004  0.00120  0.38885  0.000302  0.000135  0.034136     2.234
   1.03651  0.00001 -0.00064  0.24721  0.000295  0.000132  0.022207     2.236
   1.03838  0.00020 -0.00249  0.09370  0.000285  0.000128  0.008745     2.230
