#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00126  1.19664  0.221209  0.002864 -0.000315    77.247
   0.00630  0.99392  0.00292  1.19668  0.219633  0.002858 -0.001160    76.835
   0.01727  0.98333  0.00577  1.19675  0.216829  0.002850 -0.001163    76.073
   0.03004  0.97098  0.00904  1.19682  0.213447  0.002842 -0.001167    75.102
   0.04430  0.95718  0.01262  1.19689  0.209588  0.002834 -0.001170    73.953
   0.05958  0.94237  0.01638  1.19697  0.205379  0.002827 -0.001174    72.660
   0.07546  0.92696  0.02021  1.19705  0.200943  0.002820 -0.001177    71.262
   0.09164  0.91123  0.02403  1.19712  0.196368  0.002814 -0.001180    69.788
   0.10799  0.89533  0.02780  1.19719  0.191705  0.002809 -0.001182    68.256
   0.12441  0.87933  0.03149  1.19726  0.186983  0.002804 -0.001184    66.678
   0.14087  0.86327  0.03511  1.19733  0.182224  0.002801 -0.001186    65.065
   0.15734  0.84718  0.03864  1.19739  0.177435  0.002798 -0.001188    63.419
   0.17383  0.83106  0.04208  1.19745  0.172627  0.002796 -0.001189    61.748
   0.19032  0.81492  0.04544  1.19751  0.167802  0.002794 -0.001190    60.054
   0.20680  0.79875  0.04870  1.19756  0.162968  0.002793 -0.001191    58.341
   0.22329  0.78258  0.05188  1.19761  0.158125  0.002793 -0.001191    56.610
   0.23978  0.76638  0.05496  1.19766  0.153278  0.002794 -0.001192    54.865
   0.25626  0.75017  0.05796  1.19770  0.148431  0.002795 -0.001192    53.110
   0.27274  0.73395  0.06086  1.19774  0.143587  0.002796 -0.001191    51.347
   0.28921  0.71772  0.06368  1.19778  0.138748  0.002799 -0.001191    49.578
   0.30568  0.70148  0.06640  1.19782  0.133916  0.002801 -0.001191    47.805
   0.32214  0.68523  0.06902  1.19785  0.129094  0.002805 -0.001190    46.031
   0.33859  0.66898  0.07155  1.19788  0.124287  0.002808 -0.001189    44.259
   0.35503  0.65272  0.07398  1.19790  0.119495  0.002812 -0.001188    42.490
   0.37146  0.63645  0.07632  1.19792  0.114721  0.002817 -0.001187    40.727
   0.38788  0.62019  0.07855  1.19794  0.109968  0.002822 -0.001186    38.972
   0.40429  0.60392  0.08069  1.19796  0.105240  0.002827 -0.001184    37.228
   0.42068  0.58766  0.08272  1.19797  0.100536  0.002832 -0.001183    35.496
   0.43705  0.57140  0.08465  1.19799  0.095865  0.002838 -0.001182    33.779
   0.45341  0.55514  0.08647  1.19800  0.091223  0.002844 -0.001181    32.078
   0.46975  0.53889  0.08818  1.19801  0.086618  0.002850 -0.001180    30.396
   0.48606  0.52265  0.08978  1.19802  0.082052  0.002855 -0.001179    28.735
   0.50236  0.50642  0.09127  1.19803  0.077527  0.002861 -0.001179    27.097
   0.51863  0.49021  0.09264  1.19805  0.073047  0.002867 -0.001179    25.483
   0.53487  0.47402  0.09390  1.19808  0.068617  0.002872 -0.001179    23.896
   0.55108  0.45785  0.09503  1.19812  0.064240  0.002876 -0.001180    22.337
   0.56725  0.44172  0.09603  1.19817  0.059922  0.002880 -0.001181    20.808
   0.58335  0.42564  0.09690  1.19824  0.055671  0.002883 -0.001184    19.313
   0.59935  0.40965  0.09765  1.19834  0.051500  0.002884 -0.001188    17.857
   0.61519  0.39382  0.09824  1.19849  0.047417  0.002884 -0.001193    16.441
   0.63085  0.37817  0.09865  1.19870  0.043497  0.002881 -0.001200    15.096
   0.64639  0.36263  0.09885  1.19901  0.039739  0.002876 -0.001210    13.820
   0.66187  0.34716  0.09884  1.19946  0.036140  0.002866 -0.001224    12.611
   0.67728  0.33174  0.09863  1.20009  0.032706  0.002851 -0.001241    11.470
   0.69264  0.31639  0.09821  1.20095  0.029441  0.002832 -0.001265    10.397
   0.70795  0.30109  0.09757  1.20212  0.026353  0.002806 -0.001296     9.392
   0.72321  0.28586  0.09672  1.20369  0.023451  0.002773 -0.001338     8.457
   0.73841  0.27069  0.09564  1.20581  0.020743  0.002732 -0.001393     7.594
   0.75355  0.25561  0.09433  1.20862  0.018238  0.002681 -0.001470     6.802
   0.76863  0.24061  0.09280  1.21234  0.015942  0.002620 -0.001572     6.084
   0.78363  0.22571  0.09103  1.21724  0.013867  0.002548 -0.001672     5.443
   0.79855  0.21092  0.08902  1.22360  0.012013  0.002462 -0.001666     4.879
   0.81339  0.19626  0.08678  1.23168  0.010385  0.002365 -0.001345     4.392
   0.82811  0.18175  0.08429  1.24143  0.008981  0.002257 -0.000515     3.980
   0.84271  0.16741  0.08155  1.25295  0.007785  0.002138  0.000897     3.641
   0.85717  0.15327  0.07856  1.26614  0.006791  0.002010  0.002792     3.378
   0.87144  0.13937  0.07533  1.28043  0.005966  0.001878  0.005057     3.176
   0.88548  0.12576  0.07185  1.29504  0.005286  0.001747  0.007546     3.026
   0.89921  0.11254  0.06815  1.30926  0.004720  0.001620  0.010160     2.914
   0.91255  0.09978  0.06426  1.32258  0.004242  0.001499  0.012852     2.830
   0.92536  0.08762  0.06020  1.33469  0.003833  0.001385  0.015584     2.768
   0.93750  0.07622  0.05606  1.34547  0.003472  0.001276  0.018429     2.720
   0.94879  0.06572  0.05190  1.35479  0.003154  0.001175  0.021374     2.684
   0.95911  0.05625  0.04782  1.36265  0.002869  0.001081  0.024482     2.654
   0.96837  0.04786  0.04389  1.36905  0.002612  0.000993  0.027824     2.629
   0.97657  0.04055  0.04017  1.37395  0.002381  0.000913  0.031413     2.608
   0.98379  0.03423  0.03668  1.37736  0.002173  0.000840  0.035327     2.587
   0.99012  0.02879  0.03343  1.37921  0.001983  0.000772  0.039622     2.568
   0.99570  0.02411  0.03040  1.37935  0.001811  0.000711  0.044311     2.549
   1.00063  0.02008  0.02756  1.37765  0.001652  0.000654  0.049615     2.528
   1.00502  0.01660  0.02489  1.37365  0.001507  0.000601  0.055476     2.508
   1.00896  0.01357  0.02236  1.36692  0.001373  0.000552  0.061950     2.487
   1.01253  0.01095  0.01995  1.35689  0.001248  0.000507  0.069315     2.464
